hanzi_trad	hanzi_simp	pinyin	transcr	transc_rus	rus_translation	note	chinese_translation
NONE	阿耳申		NONE	NONE	аршин		NONE
NONE	阿布哈兹		NONE	NONE	Абхазия		NONE
NONE	阿拉克切也夫		NONE	NONE	Аракчеев	граф, тот самый	NONE
NONE	爱罗先珂		NONE	NONE	Ерошенко	Василий Яковлевич Ерошенко; сочинял на японском и эсперанто	NONE
NONE	安德列耶夫		NONE	NONE	Андреев	Андреев, Леонид Николаевич (1871-1919)	NONE
NONE	奥勃洛摩夫		NONE	NONE	Обломов	Книга	NONE
NONE	巴枯宁		NONE	NONE	Бакунин	Бакунин (Михаил Александрович)	NONE
NONE	巴甫洛夫		NONE	NONE	Павлов	Павлов, Иван Петрович	NONE
NONE	巴拉莱卡		NONE	NONE	балалайка		NONE
NONE	巴拉莱金		NONE	NONE	Балалайкин	герой Салтыкова-Щедрина: https://citaty.su/balalajkin	NONE
NONE	巴扎洛夫		NONE	NONE	Базаров	из Тургенева	NONE
NONE	白俄罗斯		NONE	NONE	Белоруссия		NONE
NONE	百科全书派		NONE	NONE	энциклопедисты	из фр.	NONE
NONE	倍尔可惠		NONE	NONE	берковец	не уверен!	NONE
NONE	比朗		NONE	NONE	Бирон	Бирон, Эрнст Иоганн	NONE
NONE	比别尔		NONE	NONE	бибер	не уверен!	NONE
NONE	彼特鲁什卡		NONE	NONE	Петрушка	Лакей Петрушка из Мертвых душ	NONE
NONE	别什凯什		NONE	NONE	Бешкеш	взятка (из тюркского)	NONE
NONE	博勃钦斯基和多博勃钦斯基		NONE	NONE	Бобчинский и Добчинский	из Гоголя	NONE
NONE	布哈拉		NONE	NONE	Бухара		NONE
NONE	布拉吉		NONE	NONE	платье		NONE
NONE	布尔什维克		NONE	NONE	большевик		NONE
NONE	车尔尼雪夫斯基		NONE	NONE	Чернышевский	Чернышевский, Николай Гаврилович	NONE
NONE	丹娘		NONE	NONE	Таня	Зоя Космодемьянская	NONE
NONE	德波林		NONE	NONE	Деборин	Деборин Абрам Моисеевич	NONE
NONE	杜马		NONE	NONE	Дума	имперское заксобрание	NONE
NONE	杜勃罗留波夫		NONE	NONE	Добролюбов	Добролюбов, Николай Александрович (1836-1861)	NONE
NONE	杜斯妥也夫斯基		NONE	NONE	Достоевский	Ф.М. Достоевский	NONE
NONE	顿河		NONE	NONE	Дон		NONE
NONE	多勃钦斯基		NONE	NONE	Добчинский	когда очень любишь Гоголя	NONE
NONE	额尔古纳河		NONE	NONE	Аргунь	написано, что из русского, но сомнительно	NONE
NONE	颚毕河		NONE	NONE	Обь		NONE
NONE	颚木斯克		NONE	NONE	Омск		NONE
NONE	鄂霍次克海		NONE	NONE	Охотское море		NONE
NONE	法捷耶夫		NONE	NONE	Фадеев	Фадеев Александр Александрович (1901 - 1956) (ошибка в написании фамилии)	NONE
NONE	斐定		NONE	NONE	Федин	Федин Константин Александрович (1892 - 1977)	NONE
NONE	费尔干纳		NONE	NONE	Фергана	из узбекского	NONE
NONE	伏拉松		NONE	NONE	Фразон	?	NONE
NONE	伏特加		NONE	NONE	водка		NONE
NONE	伏尔加河		NONE	NONE	Волга		NONE
NONE	伏尔加格勒		NONE	NONE	Волгоград	ошибка (волгаград); указание, что раньше Сталинград	NONE
NONE	伏罗希落夫		NONE	NONE	Ворошилов	Семен Яковлевич Ворошилов, герой пьесы "Дым" Тургенева	NONE
NONE	甘穆斯噶加		NONE	NONE	Камчатка	помечено как из англ.	NONE
NONE	高尔基		NONE	NONE	Горький	Алексей Максимович Пешков	NONE
NONE	戈比		NONE	NONE	копейка	помечено как из англ.	NONE
NONE	戈贝克		NONE	NONE	копейка		NONE
NONE	格伯乌		NONE	NONE	ГПУ	Государственное политическое управление	NONE
NONE	切卡		NONE	NONE	ЧК	чека; примечание к ГПУ	NONE
NONE	堪察加		NONE	NONE	Камчатка		NONE
NONE	康康舞		NONE	NONE	канкан	из фр.	NONE
NONE	科罗博契卡		NONE	NONE	Коробочка		NONE
NONE	柯罗连柯		NONE	NONE	Короленко	Короленко Владимир Галактионович, 1853-1921	NONE
NONE	柯瓦列夫斯基		NONE	NONE	Ковалевский	Ковалевский Максим Максимович 1851-1916	NONE
NONE	克格勃		NONE	NONE	КГБ	Комитет государствонной безопасности	NONE
NONE	克里木		NONE	NONE	Крым		NONE
NONE	克里米亚		NONE	NONE	Крым	помечено как из англ.	NONE
NONE	克鲁巴金		NONE	NONE	Кропоткин	Кропоткин Петр Алексеевич	NONE
NONE	克里姆林宫		NONE	NONE	Кремль	помечено как из англ.	NONE
NONE	克鲁泡特金		NONE	NONE	Кропоткин	Кропоткин Петр Алексеевич	NONE
NONE	客里空		NONE	NONE	крикун	герой пьесы "Фронт" Корнейчука	NONE
NONE	拉达		NONE	NONE	рада	скорее про Украину (про что и пишут)	NONE
NONE	拉普		NONE	NONE	РАПП	Российская ассоц. Пролетарских писателей	NONE
NONE	拉斯特		NONE	NONE	ласт	мера веса, ок. тонны	NONE
NONE	拉布分子		NONE	NONE	лабуристы	речь о лейбористах	NONE
NONE	拉甫列涅夫		NONE	NONE	Лавренев	Лавренёв Борис Андреевич (1891 - 1959)	NONE
NONE	拉祖瓦也夫和柯卢帕也夫		NONE	NONE	Разуваев и Колупаев	из Салтыкова-Щедрина	NONE
NONE	里加		NONE	NONE	Рига	столица Латвии	NONE
NONE	里加博物馆		NONE	NONE	Рижский музей	что-то с пытками	NONE
NONE	烈姆		NONE	NONE	Рем	из латыни	NONE
NONE	卢布		NONE	NONE	рубль		NONE
NONE	卢那察尔斯基		NONE	NONE	Луначарский	Луначарский Анатолий Васильевич 1875-1933	NONE
NONE	卢那卡尔斯基		NONE	NONE	Луначарский	Луначарский Анатолий Васильевич 1875-1934	NONE
NONE	罗刹		NONE	NONE	Рош	древнее название России?	NONE
NONE	罗曼诺夫		NONE	NONE	Романов	династия	NONE
NONE	罗摹诺索夫		NONE	NONE	Ломоносов	Ломоносов, Х. В. 1715-1765	NONE
NONE	马尼洛夫		NONE	NONE	Манилов	Из Мертвых душ	NONE
NONE	门捷列夫		NONE	NONE	Менделеев	см. ниже	NONE
NONE	门得列耶夫		NONE	NONE	Менделеев	Менделеев Дмитрий Иванович 1834-1907	NONE
NONE	孟什维克		NONE	NONE	меньшевик		NONE
NONE	米丘林		NONE	NONE	Мичурин	Мичурин Иван Владимирович, 1855-1935	NONE
NONE	明斯克		NONE	NONE	Минск	помечено как из англ., из русского Менск	NONE
NONE	莫罗勘		NONE	NONE	молокане		NONE
NONE	莫斯科		NONE	NONE	Москва	помечено ка из англ.	NONE
NONE	莫尔恰林		NONE	NONE	Молчалин	из Грибоедова	NONE
NONE	尼古拉梭夫		NONE	NONE	Некрасов	Николай Алексеевич Некрасов 1821-1877	NONE
NONE	涅尔琴斯克		NONE	NONE	Нерчинск	"который 尼布楚"	NONE
NONE	诺列斯		NONE	NONE	ноллес	???	NONE
NONE	诺物哥罗特		NONE	NONE	Новгород	опечатка: "новогород"	NONE
NONE	派腻唏达		NONE	NONE	панихида	панихи, да	NONE
NONE	坡别多诺斯采夫		NONE	NONE	Победоносцев	Победоносцев, по всей видимости, Константин (при этом инициал - G.)	NONE
NONE	普特		NONE	NONE	пуд	цитатка из Анны Карениной	NONE
NONE	普式庚		NONE	NONE	Пушкин	АС Пушкин	NONE
NONE	普希金		NONE	NONE	Пушкин	АС Пушкин	NONE
NONE	普列汉诺夫		NONE	NONE	Плеханов	Плеханов Георгий Валентинович 1856-1918	NONE
NONE	普利施别也夫		NONE	NONE	Пришибеев	герой чехова Унтер Пришибеев	NONE
NONE	齐特·齐梯奇		NONE	NONE	Тит Титыч	герой Островского "Тяжелые дни"	NONE
NONE	契诃夫		NONE	NONE	Чехов	Чахов, Антон Павлович	NONE
NONE	恰克图		NONE	NONE	Кяхта	помечено как из нем.	NONE
NONE	萨仁		NONE	NONE	сажень		NONE
NONE	萨哈林		NONE	NONE	Сахалин		NONE
NONE	沙皇		NONE	NONE	царь		NONE
NONE	扎尔		NONE	NONE	царь		NONE
NONE	萨宁		NONE	NONE	Санин	Герой романа М. Арцыбашева	NONE
NONE	沙油子		NONE	NONE	союз		NONE
NONE	什米茨		NONE	NONE	шмиц	??? Мера длины?	NONE
NONE	斯托雷平		NONE	NONE	Столыпин	Петр Аркадьевич Столыпин, 1862-1911	NONE
NONE	斯巴达克派		NONE	NONE	спартаковцы	Союз Спартака, марксистская организация в Германии	NONE
NONE	斯大林格勒		NONE	NONE	Сталинград		NONE
NONE	斯塔诺夫山脉		NONE	NONE	становой хребет		NONE
NONE	苏维埃		NONE	NONE	совет	тип организации	NONE
NONE	苏哈列夫卡		NONE	NONE	Сухаревка	Сухаревская площадь	NONE
NONE	绥拉菲摩维支		NONE	NONE	Серафимович	Александр Серафимович 1863-1949	NONE
NONE	梭罗古勃		NONE	NONE	Сологуб	Федор Кузьмич Сологуб 1863-1927	NONE
NONE	塔斯社		NONE	NONE	ТАСС	Телеграфное агнтство советского союза	NONE
NONE	套中人		NONE	NONE	Человек в футляре	повесть	NONE
NONE	特维尔		NONE	NONE	Тверь		NONE
NONE	特列波夫		NONE	NONE	Трепов	Д.Ф. Трепов (по-видимому, все же Ф.Ф. Трепов, гранодачальник СПб)	NONE
NONE	屠格涅夫		NONE	NONE	Тургенев	Тургенев Иван Сергеевич 1818-1883	NONE
NONE	土库曼		NONE	NONE	Туркменистан	вообще-то из туркменского	NONE
NONE	托尔斯泰		NONE	NONE	Толстой	Лев Николаевич Толстой	NONE
NONE	托克马克		NONE	NONE	Токмак		NONE
NONE	托落茨基		NONE	NONE	Троцкий	Троцкий Лев Давидович	NONE
NONE	陀思妥耶夫斯基		NONE	NONE	Достоевский	ФМ Достоевский	NONE
NONE	乌克兰		NONE	NONE	Украина		NONE
NONE	乌拉尔		NONE	NONE	урал	вид ткани?..	NONE
NONE	乌略诺夫		NONE	NONE	Ульянов	альтернатива: 乌里扬诺夫	NONE
NONE	西伯利亚		NONE	NONE	Сибирь	помечено как из англ.	NONE
NONE	希腊朔日		NONE	NONE	греческих календ		NONE
NONE	习明纳尔		NONE	NONE	семинар		NONE
NONE	鲜卑		NONE	NONE	Сибирь	помечено как из англ.	NONE
NONE	肖洛霍夫		NONE	NONE	Шолохов	Михаил Александрович Шолохов	NONE
NONE	熊的效劳		NONE	NONE	Медвежья услуга	из басни Крылова; Ленин цитировал	NONE
NONE	雄鸡和杜鹃		NONE	NONE	петух и кукушка	из басни Крылова; Ленин цитировал	NONE
NONE	休特古姆		NONE	NONE	Зюдекум	Зюдекум, немецкий социал-демократ. В. И. Ленин в ряде своих работ заклеймил зюдекумовщину, отметив, что "слово "Зюдекум" приобрело нарицательное значение: тип самодовольного, бессовестного оппортуниста и социал-шовиниста"	NONE
NONE	雅克		NONE	NONE	Як	самолет	NONE
NONE	雅尔塔		NONE	NONE	Ялта		NONE
NONE	雅罗斯拉夫		NONE	NONE	Ярослав	речь о Ярославе Мудром	NONE
NONE	雅布落诺威依山脉		NONE	NONE	Яблоновый хребет		NONE
NONE	叶尼塞		NONE	NONE	Енисей		NONE
NONE	伊万努什卡		NONE	NONE	Иванушка	Герой сказок	NONE
NONE	印贴利更追亚		NONE	NONE	интеллигенция		NONE
NONE	犹大什克·果洛夫廖夫		NONE	NONE	Иудушка Головлев	Герой Салтыкова-щедрина	NONE
NONE	卓娅		NONE	NONE	Зоя	Зоя Космодемьянская	NONE
