label_ru	label_zh	translit	syllables
отрадное	奥特拉德诺耶	àotèlādénuòyē	tè_dé
псков-	普斯科夫	pǔsīkēfū	pǔ_sī
ключи	克柳奇	kèliǔqí	kè
петроград-	彼得格勒	bǐdégélè	gé
шмидт-	施密特	shīmìtè	shī
ферсман-	费尔斯曼	fèiěrsīmàn	sī
солсбери	索尔兹伯里	suǒěrzībólǐ	zī
лавров-	拉夫罗夫	lāfūluófū	fū_fū
колчак-	高尔察克	gāoěrchákè	kè
джексон-	杰克逊	jiékèxùn	kè
гофман-	霍夫曼	huòfūmàn	fū
врангель-	弗兰格尔	fúlángéěr	fú
андреев-	安德烈耶夫	āndélièyēfū	dé_fū
клин	克林	kèlín	kè
диксон	迪克森	díkèsēn	kè
большевик	布尔什维克	bùěrshíwéikè	kè
днепр	第聂伯	dìnièbó	dì_bó
волхов	沃尔霍夫	wòěrhuòfū	fū
вологда	沃洛格达	wòluògēdá	gē
аргунь	额尔古纳	éěrgǔnà	nà
тавда	塔夫达	tǎfūdá	fū
вятка	维亚特卡	wéiyàtèkǎ	tè
шилка	石勒喀	shílèkā	lè
иртыш	额尔齐斯	éěrqísī	sī
ухта	乌赫塔	wūhètǎ	hè
припять	普里皮亚季	pǔlǐpíyàjì	pǔ_jì
яхрома	亚赫罗马	yàhèluómǎ	hè
москва	莫斯科	mòsīkē	sī
миасс	米阿斯	mǐāsī	sī
баксан	巴克桑	bākèsāng	kè
чухлома-	丘赫洛马	qiūhèluòmǎ	hè
красное	克拉斯诺耶	kèlāsīnuòyē	kè_sī
удомля	乌多姆利亚	wūduōmǔlìyà	mǔ
харьков	哈尔科夫	hāěrkēfū	fū
пра	普拉	pǔlā	pǔ
тосна	托斯诺	tuōsīnuò	sī
кострома	科斯特罗马	kēsītèluómǎ	sī_tè
псёл	普肖尔	pǔxiàoěr	pǔ
свислочь	斯维斯洛奇	sīwéisīluòqí	sī_sī_qí
истра	伊斯特拉	yīsītèlā	sī_tè
вязьма	维亚济马	wéiyàjìmǎ	jì
жиздра	日兹德拉	rìzīdélā	zī_dé
судогда	苏多格达	sūduōgédá	gé
шахтёрск	沙赫乔尔斯克	shāhèqiáoěrsīkè	hè_sī_kè
вытегра	维捷格拉	wéijiégélā	gé
красносельское	克拉斯诺耶	kèlāsīnuòyē	kè_sī
красненское	克拉斯诺耶	kèlāsīnuòyē	kè_sī
иркутск-	伊尔库茨克	yīěrkùcìkè	cì_kè
владимир-	弗拉基米尔	fúlājīmǐěr	fú
алексеевка	阿列克谢耶夫卡	ālièkèxièyēfūkǎ	kè_fū
александровск	亚历山德罗夫斯克	yàlìshāndéluófūsīkè	dé_fū_sī_kè
александровка	亚历山德罗夫卡	yàlìshāndéluófūkǎ	dé_fū
устюжена-	乌斯秋日纳	wūsīqiūrìnà	sī
краснянское	克拉斯诺耶	kèlāsīnuòyē	sī
козловка-	科兹洛夫卡	kēzīluòfūkǎ	zī_fū
березники-	别列兹尼基	biélièzīníjì	zī
березовка-	别列佐夫卡	biélièzuǒfūkǎ	fū
петушки-	佩图什基	pèitúshíjī	shí
красавино-	克拉萨维诺	kèlāsàwéinuò	kè
никольск-	尼科利斯克	níkēlìsīkè	lì_sī_kè
дзержинский-	捷尔任斯基	jiéěrrènsījī	sī
дзержинск-	捷尔任斯克	jiéěrrènsīkè	sī_kè
смолевичи-	斯莫列维奇	sīmòlièwéiqí	sī
приморск-	普里莫尔斯克	pǔlǐmòěrsīkè	pǔ_sī_kè
харовск-	哈罗夫斯克	hāluofūsīkè	fū_sī_kè
сосновка-	索斯诺夫卡	suǒsīnuòfūkǎ	sī_fū
михайловка-	米哈伊洛夫卡	mǐhāyīluòfūkǎ	fū
троицк-	特罗伊茨克	tèluóyīcíkè	tè_cí_kè
усмань-	乌斯曼	wūsīmàn	sī
черемхово-	切列姆霍沃	qiēlièmǔhuòwò	mǔ
отрадное-	奥特拉德诺耶	àotèlādénuòyē	tè_dé
пушкино-	普希金诺	pǔxījīnnuò	xī
московский-	莫斯科夫斯基	mòsīkēfūsījī	sī_fū_sī
россоша-	罗索希	luósuoxī	xī
киржач	基尔扎奇	jīěrzhāqí	qí
ирбит	伊尔比特	yīěrbǐtè	tè
лысьва	雷西瓦	léixīwǎ	xī
каргат	卡尔加特	kǎěrjiātè	tè
дубна	杜布纳	dùbùnà	bù
сычёвка-	瑟乔夫卡	sèqiáofūkǎ	fū
сельцо-	谢利措	xièlìcuò	lì
ступино-	斯图皮诺	sītúpínuò	sī
витебск-	维捷布斯克	wéijiébùsīkè	bù_sī_kè
гродеково-	格罗杰科沃	géluójiékēwò	gé
алексеевка-	阿列克谢耶夫卡	ālièkèxièyēfūkǎ	kè_fū
ключевской	克柳奇	kèliǔqí	kè
астрахань-	阿斯特拉罕	āsītèlāhǎn	sī_tè
красное-	克拉斯诺耶	kèlāsīnuòyē	kè_sī
райчихинск-	赖奇欣斯克	làiqíxīnsīkè	sī_kè
антоновка-	安东诺夫卡	āndōngnuòfūkǎ	fū
медведев-	梅德韦杰夫	méidéwéijiéfū	dé_fū
ромны-	罗姆内	luómǔnèi	mǔ
антонов-	安东诺夫	āndōngnuòfū	fū
аксай-	阿克赛	ākèsài	kè
амурзет-	阿穆尔泽特	āmùěrzétè	tè
петровский-	彼得罗夫斯基	bǐdéluófūsījī	dé_fū_sī
волгоград	伏尔加格勒	fúěrjiāgēlè	gē
дмитров-	德米特罗夫	démǐtèluófū	dé_tè_fū
белгород-	别尔哥罗德	biéěrgēluódé	dé
фролово-	弗罗洛沃	fúluóluòwò	fú
завитинск-	扎维京斯克	zāwéijīngsīkè	sī_kè
александров-	亚历山德罗夫	yàlìshāndéluófū	dé_fū
грайворон-	格赖沃龙	gélàiwòlóng	gé
ленск-	连斯克	liánsīkè	sī_kè
бахчисарай-	巴赫奇萨赖	bāhèqísàlài	hè
вытегра-	维捷格拉	wéijiégélā	gé
гаврилов посад-	加夫里洛夫镇	jiāfūlǐluòfūzhèn	fū_fū
новыйй оскол	新奥斯科尔	xīnàosīkēěr	sī
слюдянка-	斯柳江卡	sīliǔjiāngkǎ	sī
трубчевск-	特鲁布切夫斯克	tèlǔbùqièfūsīkè	tè_bù_fū_sī_kè
севск-	谢夫斯克	xièfūsīkè	fū_sī_kè
ахтубинск-	阿赫图宾斯克	āhètúbīnsīkè	hè_sī_kè
киренский	基廉斯克	jīliánsīkè	sī_kè
раменск-	拉缅斯科耶	lāmiǎnsīkēyē	sī
белогорск-	别洛戈尔斯克	biéluògēěrsīkè	sī_kè
котельниково-	科捷利尼科沃	kējiélìníkēwò	lì
тайшет-	泰舍特	tàishètè	tè
балаклава-	巴拉克拉瓦	bālākèlāwǎ	kè
злынка-	兹伦卡	zīlúnkǎ	zī
стародуб-	斯塔罗杜布	sītǎluódùbù	sī_bù
кольчугино-	科利丘吉诺	kēlìqiūjínuò	lì
великий устюг	大乌斯秋格	dàwūsīqiūgé	sī_gé
мглин-	姆格林	mǔgélín	mǔ_gé
коломна-	科洛姆纳	kēluòmǔnà	mǔ
палласовка-	帕拉索夫卡	pàlāsuǒfūkǎ	fū
сковородино-	斯科沃罗季诺	sīkēwòluōjìnuò	sī
кинешма-	基涅什马	jīnièshímǎ	shí
острогожск-	奥斯特罗戈日斯克	àosītèluógērìsīkè	sī_tè_rì_sī_kè
урюпинск-	乌留平斯克	wūliúpíngsīkè	sī_kè
ивдель	伊夫杰利	yīfūjiélì	fū_lì
усмань	乌斯曼	wūsīmàn	sī
россошь-	罗索希	luósuoxī	xī
братск-	布拉茨克	bùlācíkè	bù_cí_kè
бутурлиновка-	布图尔利诺夫卡	bùtúěrlìnuòfūkǎ	fū
фурманов-	富尔马诺夫	fùěrmǎnuòfū	fū
усть илимск-	乌斯季伊利姆斯克	wūsījìyīlìmǔsīkè	sī_jì_mǔ_sī_kè
арзамас-	阿尔扎马斯	āěrzāmǎsī	sī
суздаль-	苏兹达尔	sūzīdáěr	zī
судогда-	苏多格达	sūduōgédá	gé
гусь хрустальный	古西赫鲁斯塔利内	gǔxīhèlǔsītǎlìnèi	xī_hè_sī_lì
усть кут	乌斯季库特	wūsījìkùtè	sī_jì_tè
камешково-	卡梅什科沃	kǎméishíkēwò	shí
тотьма-	托季马	tuōjìmǎ	jì
красноперекопск-	克拉斯诺佩列科普斯克	kèlāsīnuòpèilièkēpǔsīkè	kè_sī_pǔ_sī_kè
жирновск-	日尔诺夫斯克	rìěrnuòfūsīkè	fū_sī_kè
подольск-	波多利斯克	bōduōlìsīkè	lì_sī_kè
клин-	克林	kèlín	kè
благовещенск-	布拉戈维申斯克	bùlāgēwéishēnsīkè	bù_sī_kè
ленинск-	列宁斯克	lièníngsīkè	sī_kè
истра-	伊斯特拉	yīsītèlā	sī_tè
дятьково-	佳季科沃	jiājìkēwò	jì
бобров-	博布罗夫	bóbùluófū	bù_fū
корсаков	科尔萨科夫	kēěrsàkēfū	fū
котлас-	科特拉斯	kētèlāsī	tè_sī
павловск-	巴甫洛夫斯克	bāfǔluòfūsīkè	fǔ_fū_sī_kè
жуковка-	茹科夫卡	rúkēfūkǎ	fū
устюжина-	乌斯秋日纳	wūsīqiūrìnà	sī
эртиль-	埃尔季利	āiěrjìlì	lì
брянск-	布良斯克	bùliángsīkè	bù_sī_kè
новозыбков-	新济布科夫	xīnjìbùkēfū	bù_fū
облучье-	奥布卢奇耶	àobùlúqíyē	bù
ишимбай-	伊希姆拜	yīxīmǔbài	mǔ
николаевск-	尼古拉耶夫斯克	nígǔlāyēfūsīkè	fū_sī_kè
новохопёрск-	新霍皮奥尔斯克	xīnhuòpíàoěrsīkè	sī_kè
можайск-	莫扎伊斯克	mòzhāyīsīkè	sī_kè
заволжск-	扎沃尔日斯克	zāwòěrrìsīkè	rì_sī_kè
приволжск-	普里沃尔日斯克	pǔlǐwòěrrìsīkè	pǔ_rì_sī_kè
рудня-	鲁德尼亚	lǔdéníyà	dé
кировск-	基洛夫斯克	jīluòfūsīkè	sī_kè
дубовка-	杜博夫卡	dùbófūkǎ	fū
лесной	列斯诺伊	lièsīnuòyī	sī
листвянка	利斯特维扬卡	lìsītèwéiyángkǎ	sī_tè
плесецк	普列谢茨克	pǔlièxiècíkè	pǔ_cí_kè
охотск	鄂霍次克	àohuòcìkè	cì_kè
владимир владимирович путин	弗拉基米尔·弗拉基米罗维奇·普京	fúlājīmǐěrfúlājīmǐluówéiqípǔjīng	fú_fú_qí
корниловская	科尔尼洛夫	kēěrníluòfū	fū
климов	克里莫夫	kèlǐmòfū	kè_fū
евгений евтушенко	叶夫根尼·叶夫图申科	yèfūgēnníyèfūtúshēnkē	fū_fū
оклан	奥克兰	àokèlán	kè
нерехта	涅列赫塔	nièlièhètǎ	hè
тихвинский	齐赫文	qíhèwén	hè
толбачик	托尔巴奇克	tuōěrbāqíkè	kè
сталин	斯大林	sīdàlín	sī
павлов	巴甫洛夫	bāfǔluòfū	fǔ_fū
константин устинович черненко	康斯坦丁·乌斯季诺维奇·契尔年科	kāngsītǎndīngwūsījìnuòwéiqíqìěrniánkē	sī_sī_qí
сосновка	索斯诺夫卡	suǒsīnuòfūkǎ	sī_fū
эртиль	埃尔季利	āiěrjìlì	lì
алексей иванович рыков	阿列克谢·伊万诺维奇·李可夫	ālièkèxièyīwànnuòwéiqílǐkěfū	kè_qí_fū
сухомлинский	苏霍姆林斯基	sūhuòmǔlínsījī	mǔ_sī
кропоткин	克鲁泡特金	kèlǔpàotèjīn	kè_tè
лев толстой	列夫·托尔斯泰	lièfūtuōěrsītài	fūsī
елизавета петровна романова	伊丽莎白·彼得罗芙娜·罗曼诺娃	yīlìshābáibǐdéluófúnàluómànnuòwá	dé_fú
владимир	弗拉基米尔	fúlājīmǐěr	fú
эльбрус	厄尔布鲁士	èěrbùlǔshì	bù_shì
дыхтау	狄克	díkè	kè
пограничный	波格拉尼奇内	bōgélāníqínèi	gé_qí
смирнова	斯米尔诺夫	sīmǐěrnuòfū	sī_fū
романовка	罗曼诺夫	luómànnuòfū	fū
давлеканово	达夫列卡诺沃	dáfūlièkǎnuòwò	fū
псков	普斯科夫	pǔsīkēfū	pǔ_sī
минск	明斯克	míngsīkè	sī_kè
смоленск	斯摩棱斯克	sīmóléngsīkè	sī_sī_kè
балтийск	波罗的斯克	bōluódīsīkè	luó_sī_kè
светлый	斯韦特雷	sīwéitèléi	sī_tè
якутск	雅库茨克	yǎkùcíkè	cí_kè
дальнегорск	达利涅戈尔斯克	dálìniègēěrsīkè	lì_sī_kè
гатчина	加特契纳	jiātèqìnà	tè
белинский	别林斯基	biélínsījī	sī
белогорск	别洛戈尔斯克	biéluògēěrsīkè	sī_kè
белозерск	别洛焦尔斯克	biéluòjiāoěrsīkè	sī_kè
киселёвск	基谢廖夫斯克	jīxièliáofūsīkè	fū_sī_kè
климовск	克利莫夫斯克	kèlìmòfūsīkè	kè_fū_sī_kè
севастополь	塞瓦斯托波尔	sèwǎsītuōbōěr	sī
лесозаводск	列索扎沃茨克	lièsuǒzāwòcíkè	cí_kè
козловка	科兹洛夫卡	kēzīluòfūkǎ	zī_fū
белорецк	别洛列茨克	biéluòliècíkè	cí_kè
бердск	别尔茨克	biéěrcíkè	cí_kè
березники	别列兹尼基	biélièzīníjì	zī
княгинино	克尼亚吉尼诺	kèníyàjínínuò	kè
ковдор	科夫多尔	kēfūduōěr	fū
берёзовский	别廖佐夫斯基	biéliáozuǒfūsījī	fū_sī
беслан	别斯兰	biésīlán	sī
кодинск	科金斯克	kējīnsīkè	sī_kè
козельск	科泽利斯克	kēzélìsīkè	lì_sī_kè
болотное	博洛特诺耶	bóluòtènuòyē	tè
лениногорск	列宁诺戈尔斯克	lièníngnuògēěrsīkè	sī_kè
ленинск	列宁斯克	lièníngsīkè	sī_kè
бирюсинск	比留辛斯克	bǐliúxīnsīkè	sī_kè
бирск	比尔斯克	bǐěrsīkè	sī_kè
лихославль	利库斯拉夫尔	lìkùsīlāfūěr	sī_fū
лобня	洛布尼亚	luòbùníyà	bù
ленск	连斯克	liánsīkè	sī_kè
лермонтов	莱蒙托夫	láimēngtuōfū	fū
каменногорск	卡缅诺戈尔斯克	kǎmiǎnnuògēěrsīkè	sī_kè
кондрово	孔德罗沃	kǒngdéluówò	dé
константиновск	康斯坦丁诺夫斯克	kāngsītǎndīngnuòfūsīkè	sī_fū_sī_kè
ливны	利夫内	lìfūnèi	fū
благодарный	布拉戈达尔内	bùlāgēdáěrnèi	bù
бобров	博布罗夫	bóbùluófū	bù_fū
богданович	波格丹诺维奇	bōgēdānnuòwéiqí	gē_qí
благовещенск	布拉戈维申斯克	bùlāgēwéishēnsīkè	bù_sī_kè
липки	利普基	lìpǔjī	pǔ
лиски	利斯基	lìsījī	sī
белоярск-	别洛亚尔斯克	biéluòyàěrsīkè	sī_kè
коряжма	科里亚日马	kēlǐyàrìmǎ	rì
котельнич	科捷利尼奇	kējiélìníqí	lì_qí
котлас	科特拉斯	kētèlāsī	tè_sī
котовск	科托夫斯克	kētuōfūsīkè	fū_sī_kè
кохма	科赫马	kēhèmǎ	hè
лосино петровский	洛西诺-彼得罗夫斯基	luòxīnuòbǐdéluófūsījī	dé_fū_sī
лысково	雷斯科沃	léisīkēwò	sī
богородицк	博戈罗季茨克	bógēluójìcíkè	cí_kè
богородск	博戈罗茨克	bógēluócíkè	cí_kè
кологрив	科洛格里夫	kēluògélǐfū	gé_fū
каменск уральский	乌拉尔地区卡缅斯克	wūlāěrdìqūkǎmiǎnsīkè	sī_kè
малмыж	马尔梅日	mǎěrméirì	rì
малоархангельск	小阿尔汉格尔斯克	xiǎoāěrhàngéěrsīkè	sī_kè
малоярославец	小雅罗斯拉夫韦茨	xiǎoyǎluósīlāfūwéicí	sī_cí
кораблино	科拉布利诺	kēlābùlìnuò	bù
донецк	顿涅茨克	dùnniècíkè	cí_kè
костерёво	科斯捷列沃	kēsījiélièwò	sī
никольское	尼科尔斯科耶	níkēěrsīkēyé	sī
урюпинск	乌留平斯克	wūliúpíngsīkè	sī_kè
чернушка	切尔努什卡	qiēěrnǔshíkǎ	shí
красный холм	红霍尔姆	hónghuòěrmǔ	mǔ
подпорожье	波德波罗日耶	bōdébōluórìyē	dé_rì
светогорск	斯韦托戈尔斯克	sīwéituōgēěrsīkè	sī_kè
приозерск	普里奥焦尔斯克	pǔlǐàojiāoěrsīkè	pǔ_sī_kè
кингисепп	金吉谢普	jīnjíxièpǔ	pǔ
буйнакск	布伊纳克斯克	bùyīnàkèsīkè	kè_sī_kè
бутурлиновка	布图尔利诺夫卡	bùtúěrlìnuòfūkǎ	fū
кольчугино	科利丘吉诺	kēlìqiūjínuò	lì
дегтярск	杰格佳尔斯克	jiégéjiāěrsīkè	gé_sī_kè
кувшиново	库夫希诺沃	kùfūxīnuòwò	fū
кудымкар	库德姆卡尔	kùdémǔkǎěr	mǔ
кувандык	库万德克	kùwàndékè	kè
всеволожск	弗谢沃洛日斯克	fúxièwòluòrìsīkè	fú_rì_sī_kè
высоцк	维索茨克	wéisuǒcíkè	cí_kè
лыткарино	雷特卡里诺	léitèkǎlǐnuò	tè
братск	布拉茨克	bùlācíkè	bù_cí_kè
кировск	基洛夫斯克	jīluòfūsīkè	fū_sī_kè
приморск	普里莫尔斯克	pǔlǐmòěrsīkè	pǔ_sī_kè
сертолово	谢尔托洛夫	xièěrtuōluòfū	fū
мглин	姆格林	mǔgélín	mǔ_gé
бугуруслан	布古鲁斯兰	bùgǔlǔsīlán	sī
