label_ru	label_zh	translit	syllables
дзержинск	捷尔任斯克	jiéěrrènsīkè	sī_kè
волчанск	沃尔昌斯克	wòěrchāngsīkè	sī_kè
усть катав	乌斯季-卡塔夫	wūsījìkǎtǎfū	sī_jì_fū
усть лабинск	乌斯季-拉宾斯克	wūsījìlābīnsīkè	sī_jì_sī_kè
волжский	伏尔加斯基	fúěrjiāsījī	sī
магнитогорск	马格尼托哥尔斯克	mǎgénítuōgēěrsīkè	gé_sī_kè
харовск	哈罗夫斯克	hāluofūsīkè	fū_sī_kè
хвалынск	赫瓦伦斯克	hèwǎlúnsīkè	hè_sī_kè
фролово	弗罗洛沃	fúluóluòwò	fú
дятлово	佳特洛沃	jiātèluòwò	tè
новокузнецк	新库兹涅茨克	xīnkùzīniècíkè	zī_cí_kè
иланский	伊兰斯基	yīlánsījī	sī
цивильск	齐维利斯克	qíwéilìsīkè	lì_sī_kè
цимлянск	齐姆良斯克	qímǔliángsīkè	mǔ_sī_kè
агрыз	阿格雷兹	āgēléizī	gē_zī
азнакаево	阿兹纳卡耶沃	āzīnàkǎyēwò	zī
холм	霍尔姆	huòěrmǔ	mǔ
хотьково	霍季科沃	huòjìkēwò	jì
ельня	叶利尼亚	yèlìníyà	lì
адыгейск	阿迪格斯克	ādígésīkè	sī_kè
алейск	阿列伊斯克	ālièyīsīkè	sī_kè
фрязино	弗里亚济诺	fúlǐyàjìnuò	fú
фурманов	富尔马诺夫	fùěrmǎnuòfū	fū
кузьмичи	库济米奇	kùjìmǐqí	jì
анд-	安德	āndé	dé
абдулино	阿卜杜利诺	àbùdùlìnuò	bù
бийск	比斯克	bǐsīkè	sī_kè
арзамас	阿尔扎马斯	āěrzāmǎsī	sī
аркадак	阿尔卡达克	āěrkǎdákè	kè
аксай	阿克赛	ākèsài	kè
дмитров	德米特罗夫	démǐtèluófū	dé_tè_fū
химки	希姆基	xīmǔjī	mǔ
коктебель	科克捷别利	kēkèjiébiélì	kè_lì
алексин	阿列克辛	ālièkèxīn	kè
ардатов	阿尔达托夫	āěrdátuōfū	fū
нижневартовск	下瓦尔托夫斯克	xiàwǎěrtuōfūsīkè	fū_sī_kè
артёмовск	阿尔乔莫夫斯克	āěrqiáomòfūsīkè	fū_sī_kè
бабушкин	巴布什金	bābùshíjīn	shí
бавлы	巴夫雷	bāfūléi	fū
алапаевск	阿拉帕耶夫斯克	ālāpàyēfūsīkè	fū_sī_kè
артём	阿尔乔姆	āěrqiáomǔ	mǔ
черноголовка	切尔诺戈洛夫卡	qiēěrnuògēluòfūkǎ	fū
чистополь	奇斯托波尔	jīsītuōbōěr	sī
шахты	沙赫特	shāhètè	hè
александровск-	亚历山德罗夫斯克	yàlìshāndéluófūsīkè	dé_fū_sī_kè
апрелевка	阿普雷列夫卡	āpǔléilièfūkǎ	pǔ_fū
шадринск	沙德林斯克	shādélínsīkè	dé_sī_kè
александров	亚历山德罗夫	yàlìshāndéluófū	dé_fū
багратионовск	巴格拉季奥诺夫斯克	bāgélājìàonuòfūsīkè	gé_fū_sī_kè
байкальск	贝加尔斯克	bèijiāěrsīkè	sī_kè
черемхово	切列姆霍沃	qiēlièmǔhuòwò	mǔ
шимановск	希马诺夫斯克	xīmǎnuòfūsīkè	fū_sī_kè
балахна	巴拉赫纳	bālāhènà	hè
нижнекамск	下卡姆斯克	xiàkǎmǔsīkè	mǔ_sī_kè
баймак	拜马克	bàimǎkè	kè
белая калитва	白卡利特瓦	báikǎlìtèwǎ	tè
югорск	尤戈尔斯克	yóugēěrsīkè	sī_kè
нерюнгри	涅留恩格里	nièliúēngēlǐ	gē
чайковский	柴可夫斯基	cháikěfūsījī	fū_sī
чаплыгин	恰普雷金	qiàpǔléijīn	pǔ
артёмовский	阿尔乔莫夫斯基	āěrqiáomòfūsījī	fū_sī
асбест	阿斯别斯特	āsībiésītè	sī_sī_tè
электроугли	埃列克特罗乌格利	āilièkètèluówūgélì	kè_tè_gé
энгельс	恩格斯城	ēngésīchéng	sī
новоузенск	新乌津斯克	xīnwūjīnsīkè	sī_kè
новоульяновск	新乌里扬诺夫斯克	xīnwūlǐyángnuòfūsīkè	fū_sī_kè
новоуральск	新乌拉尔斯克	xīnwūláěrsīkè	sī_kè
чапаевск	恰帕耶夫斯克	qiàpàyēfūsīkè	fū_sī_kè
ахтубинск	阿赫图宾斯克	āhètúbīnsīkè	hè_sī_kè
ачинск	阿钦斯克	āqīnsīkè	sī_kè
чухлома	丘赫洛马	qiūhèluòmǎ	hè
нижний ломов	下洛莫夫	xiàluòmòfū	fū
шенкурск	申库尔斯克	shēnkùěrsīkè	sī_kè
яранск	亚兰斯克	yàlánsīkè	sī_kè
николаевск	尼古拉耶夫斯克	nígǔlāyēfūsīkè	fū_sī_kè
бежецк	别热茨克	biérècíkè	cí_kè
чкаловск	契卡洛夫斯克	qìkǎluòfūsīkè	qì_fū_sī_kè
облучье	奥布卢奇耶	àobùlúqíyē	qí
обнинск	奥布宁斯克	àobùníngsīkè	bù_sī_kè
никольск	尼科利斯克	níkēlìsīkè	lì_sī_kè
новоаннинский	新安宁斯基	xīnānníngsījī	sī
олёкминск	奥廖克明斯克	àoliàokèmíngsīkè	kè_sī_kè
оленегорск	奥列涅戈尔斯克	àolièniègēěrsīkè	sī_kè
омутнинск	奥穆特宁斯克	àomùtèníngsīkè	tè_sī_kè
новохопёрск	新霍皮奥尔斯克	xīnhuòpíàoěrsīkè	sī_kè
новочебоксарск	新切博克萨尔斯克	xīnqiēbókèsàěrsīkè	sī_kè
амурск	阿穆尔斯克	āmùěrsīkè	sī_kè
ангарск	安加尔斯克	ānjiāěrsīkè	sī_kè
молодечно	莫洛杰奇诺	mòluòjiéqínuò	qí
андреаполь	安德烈亚波尔	āndélièyàbōěr	dé
анжеро судженск	安热罗苏真斯克	ānrèluósuzhēnsīkè	sī_kè
барабинск	巴拉宾斯克	bālābīnsīkè	sī_kè
ясный	亚斯内	yàsīnèi	sī
полоцк	波洛茨克	bōluòcíkè	cí_kè
ясногорск	亚斯诺戈尔斯克	yàsīnuògēěrsīkè	sī_sī_kè
новотроицк	新特罗伊茨克	xīntèluóyīcíkè	tè_cí_kè
нолинск	诺林斯克	nuòlínsīkè	sī_kè
южно сухокумск	南苏霍库姆斯克	nánsūhuòkùmǔsīkè	mǔ_sī_kè
крупки	克鲁普基	kèlǔpǔjī	kè_pǔ
переславль залесский	佩列斯拉夫尔-扎列斯基	pèilièsīlāfūěrzālièsījī	sī_fū_sī
пестово	佩斯托沃	pèisītuōwò	sī
новодвинск	新德文斯克	xīndéwénsīkè	dé_sī_kè
новозыбков	新济布科夫	xīnjìbùkēfū	bù_fū
новокубанск	新库班斯克	xīnkùbānsīkè	sī_kè
нефтекумск	涅夫捷库姆斯克	nièfūjiékùmǔsīkè	fū_mǔ_sī_kè
палласовка	帕拉索夫卡	pàlāsuǒfūkǎ	fū
петров вал	彼得罗夫瓦尔	bǐdéluófūwǎěr	dé_fū
павлово	巴甫洛沃	bāfǔluòwò	fǔ
павловск	巴甫洛夫斯克	bāfǔluòfūsīkè	fǔ_fū_sī_kè
новосокольники	新索科利尼基	xīnsuǒkēlìníjī	lì
нефтеюганск	涅夫捷尤甘斯克	nièfūjiéyóugānsīkè	fū_sī_kè
юрьев польский	尤里耶夫-波利斯基	yóulǐyēfūbōlìsījī	lǐ_fū_lì_sī
норильск	诺里尔斯克	nuòlǐěrsīkè	sī_kè
ноябрьск	诺亚布尔斯克	nuòyàbùěrsīkè	bù_sī_kè
несвиж	涅斯维日	nièsīwéirì	sī_rì
новомичуринск	新米丘林斯克	xīnmǐqiūlínsīkè	sī_kè
ряжск	里亚日斯克	lǐyàrìsīkè	rì_sī_kè
новокуйбышевск	新古比雪夫斯克	xīngǔbǐxuěfūsīkè	fū_sī_kè
новопавловск	新巴甫洛夫斯克	xīnbāfǔluòfūsīkè	fǔ_fū_sī_kè
новоржев	新勒热夫	xīnlèrèfū	lè_fū
отрадный	奥特拉德内	àotèlādénèi	tèdé
петровск	彼得罗夫斯克	bǐdéluófūsīkè	dé_fū_sī_kè
острогожск	奥斯特罗戈日斯克	àosītèluógērìsīkè	sī_tè_rì_sī_kè
новоалександровск	新亚历山德罗夫斯克	xīnyàlìshāndéluófūsīkè	dé_fū_sī_kè
новоалтайск	新阿尔泰斯克	xīnāěrtàisīkè	sī_kè
каменск шахтинский	卡缅斯克-沙赫京斯基	kǎmiǎnsīkèshāhèjīngsījī	sī_kè_hè_sī
нурлат	努尔拉特	nǔěrlātè	tè
звенигово	兹韦尼哥沃	zīwéinígēwò	zī
петушки	佩图什基	pèitúshíjī	shí
орлов	奥尔洛夫	àoěrluòfū	fū
озёрск	奥焦尔斯克	àojiāoěrsīkè	sī_kè
канск	坎斯克	kǎnsīkè	sī_kè
тобольск	托博尔斯克	tuōbóěrsīkè	sī_kè
карачаевск	卡拉恰耶夫斯克	kǎlāqiàyēfūsīkè	fū_sī_kè
звенигород	兹韦尼哥罗德	zīwéinígēluódé	zī_dé
оханск	奥汉斯克	àohànsīkè	sī_kè
зверево	兹韦列沃	zīwéilièwò	zī
зеленодольск	泽列诺多尔斯克	zéliènuòduōěrsīkè	sī_kè
плавск	普拉夫斯克	pǔlāfūsīkè	pǔ_fū_sī_kè
пласт	普拉斯特	pǔlāsītè	pǔ_sī_tè
плёс	普廖斯	pǔliáosī	pǔ_sī
заречный	扎列奇内	zālièqínèi	qí
клецк	克列茨克	kèliècíkè	kè_cí_kè
осташков	奥斯塔什科夫	àosītǎshíkēfū	sī_shí_fū
юхнов	尤赫诺夫	yóuhènuòfū	hè_fū
калачинск	卡拉钦斯克	kǎlāqīnsīkè	sī_kè
калининск	加里宁斯克	jiālǐníngsīkè	sī_kè
ивантеевка	伊万捷耶夫卡	yīwànjiéyēfūkǎ	fū
нытва	内特瓦	nèitèwǎ	tè
качканар	卡奇卡纳尔	kǎqíkǎnàěr	qí
кизилюрт	克孜勒尤尔特	kèzīlèyóuěrtè	lè_tè
кимры	基姆雷	jīmǔléi	mǔ
камешково	卡梅什科沃	kǎméishíkēwò	shí
пересвет	佩列斯韦特	pèilièsīwéitè	sī_tè
таганрог	塔甘罗格	tǎgānluógé	gé
каргополь	卡尔戈波雷	kǎěrgēbōléi	léi
исилькуль	伊西利库尔	yīxīlìkùěr	lì
искитим	伊斯基季姆	yīsījījìmǔ	sī_mǔ
зуевка	祖耶夫卡	zǔyēfūkǎ	fū
знаменск	兹纳缅斯克	zīnàmiǎnsīkè	zī_sī_kè
зубцов	祖布佐夫	zǔbùzuǒfū	bù_fū
нестеров	涅斯捷罗夫	nièsījiéluófū	sī_fū
заринск	扎林斯克	zālínsīkè	sī_kè
аткарск	阿特卡尔斯克	ātèkǎěrsīkè	tè_sī_kè
златоуст	兹拉托乌斯特	zīlātuōwūsītè	zī_sī_tè
злынка	兹伦卡	zīlúnkǎ	zī
кандалакша	坎达拉克沙	kǎndálākèshā	kè
карпинск	卡尔平斯克	kǎěrpíngsīkè	sī_kè
катав ивановск	卡塔夫-伊万诺夫斯克	kǎtǎfūyīwànnuòfūsīkè	fū_fū_sī_kè
катайск	卡泰斯克	kǎtàisīkè	sī_kè
касли	卡斯利	kǎsīlì	sī
брест	布列斯特	bùlièsītè	bù_sī_tè
змеиногорск	兹梅伊诺戈尔斯克	zīméiyīnuògēěrsīkè	zī_sī_kè
избербаш	伊兹别尔巴什	yīzībiéěrbāshí	zī_shí
изобильный	伊佐比利内	yīzuǒbǐlìnèi	lì
ишимбай	伊希姆拜	yīxīmǔbài	mǔ
кадников	卡德尼科夫	kǎdéníkēfū	dé_fū
опочка	奥波奇卡	àobōqíkǎ	qí
ялуторовск	亚卢托罗夫斯克	yàlútuōluōfūsīkè	fū_sī_kè
лакинск	拉金斯克	lājīnsīkè	sī_kè
камышлов	卡梅什洛夫	kǎméishíluòfū	shí_fū
кедровый	克德罗维	kèdéluówéi	dé
пионерский	皮奥涅尔斯基	píàonièěrsījī	sī
питкяранта	皮特基亚兰塔	pítèjīyàlántǎ	tè
хасавюрт	哈萨维尤尔特	hāsàwéiyóuěrtè	wéi_tè
кимовск	基莫夫斯克	jīmòfūsīkè	fū_sī_kè
кизляр	基兹利亚尔	jīzīlìyàěr	zī
зеленокумск	泽列诺库姆斯克	zéliènuòkùmǔsīkè	mǔ_sī_kè
зерноград	泽尔诺格勒	zéěrnuògélè	gé
щигры	希格雷	xīgēléi	gē
кировград	基洛夫格勒	jīluòfūgélè	gé
киренск	基廉斯克	jīliánsīkè	sī_kè
славск	斯拉夫斯克	sīlāfūsīkè	sī_fū_sī_kè
кирс	基尔斯	jīěrsī	sī
кириллов	基里尔洛夫	jīlǐěrluòfū	fū
слободской	斯洛博茨科伊	sīluòbócíkēyī	sī_cí
снежинск	斯涅任斯克	sīnièrènsīkè	sī_sī_kè
кирово чепецк	基洛沃-切佩茨克	jīluòwòqiēpèicíkè	cí_kè
кинешма	基涅什马	jīnièshímǎ	shí
киреевск	基列耶夫斯克	jīlièyēfūsīkè	fū_sī_kè
снежногорск	斯涅日诺戈尔斯克	sīnièrìnuògēěrsīkè	sī_rì_sī_kè
сорочинск	索罗钦斯克	suǒluóqīnsīkè	sī_kè
старая купавна	旧库帕夫纳	jiùkùpàfūnà	fū
среднеколымск	中科雷姆斯克	zhōngkēléimǔsīkè	mǔ_sī_kè
среднеуральск	中乌拉尔斯克	zhōngwūlāěrsīkè	sī_kè
сретенск	斯利坚斯克	sīlìjiānsīkè	sī_sī_kè
старица	斯塔里察	sītǎlǐchá	sī
стародуб	斯塔罗杜布	sītǎluódùbù	sī_bù
старый оскол	旧奥斯科尔	jiùàosīkēěr	sī
спасск дальний	斯帕斯克达利尼	sīpàsīkèdálìní	sī_sī_kè_lì
спасск рязанский	斯帕斯克-梁赞斯基	sīpàsīkèliángzànsījī	sī_sī_kè_sī
сосенский	索先斯基	suǒxiānsījī	sī
сосновоборск	索斯诺沃博尔斯克	suǒsīnuòwòbóěrsīkè	sī_sī_kè
сосногорск	索斯诺戈尔斯克	suǒsīnuògēěrsīkè	sī_sī_kè
соликамск	索利卡姆斯克	suǒlìkǎmǔsīkè	mǔ_sī_kè
солнечногорск	索尔涅奇诺戈尔斯克	suǒěrnièqínuògēěrsīkè	qí_sī_kè
советский	苏维埃茨基	sūwéiāicíjī	cí
сурск	苏尔斯克	sūěrsīkè	sī_kè
сольвычегодск	索里维切戈茨斯克	suǒlǐwéiqiēgēcísīkè	lǐ_cí_sī_kè
сольцы	索利齐	suǒlìqí	lì
сорск	索尔斯克	suǒěrsīkè	sī_kè
струнино	斯特鲁尼诺	sītèlǔnínuò	sī_tè
ступино	斯图皮诺	sītúpínuò	sī
спас деменск	斯帕斯-杰缅斯克	sīpàsījiémiǎnsīkè	sī_sī_sī_kè
спас клепики	斯帕斯-克列皮基	sīpàsīkèlièpíjī	sī_sī_kè
спасск	斯帕斯克	sīpàsīkè	sī_sī_kè
тайшет	泰舍特	tàishètè	tè
талдом	塔尔多姆	tǎěrduōmǔ	mǔ
сысерть	瑟谢尔季	sèxièěrjì	jì
таштагол	塔什塔戈尔	tǎshítǎgēěr	shí
темников	捷姆尼科夫	jiémǔníkēfū	mǔ_fū
тихорецк	季霍列茨克	jìhuòliècíkè	cí_kè
сычёвка	瑟乔夫卡	sèqiáofūkǎ	fū
томмот	托莫特	tuōmòtè	tè
топки	托普基	tuōpǔjī	pǔ
троицк	特罗伊茨克	tèluóyīcíkè	tè_cí_kè
торжок	托尔若克	tuōěrruòkè	kè
тимашёвск	季马绍夫斯克	jìmǎshàofūsīkè	fū_sī_kè
трубчевск	特鲁布切夫斯克	tèlǔbùqièfūsīkè	tè_bù_fū_sī_kè
туапсе	图阿普谢	túāpǔxiè	pǔ
туринск	图林斯克	túlínsīkè	sī_kè
удачный	乌达奇内	wūdáqínèi	qí
углегорск	乌格列戈尔斯克	wūgéliègēěrsīkè	gé_sī_kè
тырныауз	特尔内奥兹	tèěrnèiàozī	zī
тюкалинск	秋卡林斯克	qiūkǎlínsīkè	sī_kè
узловая	乌兹洛瓦亚	wūzīluòwǎyà	zī
урус мартан	乌鲁斯-马尔坦	wūlǔsīmǎěrtǎn	sī
усинск	乌辛斯克	wūxīnsīkè	sī_kè
слуцк	斯卢茨克	sīlúcíkè	sī_cí_kè
смолевичи	斯莫列维奇	sīmòlièwéiqí	sī
солигорск	索利戈尔斯克	suǒlìgēěrsīkè	sī_kè
пинск	平斯克	píngsīkè	sī_kè
столбцы	斯托尔布齐	sītuōěrbùqí	sī_bù
узда	乌兹达	wūzīdá	zī
бобруйск	博布鲁伊斯克	bóbùlǔyīsīkè	bù_sī_kè
алупка	阿卢普卡	ālúpǔkǎ	pǔ
старый крым	旧克里木	jiùkèlǐmù	kè_mù
браслав	布拉斯拉夫	bùlāsīlāfū	bù_sī_fū
волковыск	瓦夫卡维斯克	wǎfūkǎwēisīkē	fū_sī_kē
ошмяны	奥什米亚内	àoshénmǐyànèi	shén
шклов	什克洛夫	shíkèluòfū	shí_kè_fū
новогрудок	新格鲁多克	xīngélǔduōkè	gé_kè
слоним	斯洛尼姆	sīluònímǔ	sī_mǔ
добруш	多布鲁什	duōbùlǔshí	bù_shí
забайкальск	后贝加尔斯克	hòubèijiāěrsīkè	sī_kè
агинское	阿金斯科耶	ājīnsīkēyē	sī
чернышевский	车尔尼雪夫斯基	chēěrníxuěfūsījī	fū_sī
усть нера	乌斯季挪拉	wūsījìnuólā	sī_jì
краскино	克拉斯基诺	kèlāsījīnuò	kè_sī
свияжск	斯维亚日斯克	sīwéiyàrìsīkè	sī_rì_sī_kè
арбат	阿尔巴特	āěrbātè	tè
даниловский	丹尼洛夫	dānníluòfū	fū
люблино	柳布林诺	liǔbùlínnuò	bù
алексеевский	阿列克谢	ālièkèxiè	kè
тверской	特维尔	tèwéiěr	tè
фрунзенский	伏龙芝	fúlóngzhī	fú
петровичи	彼得罗维奇	bǐdéluówéiqí	dé
