label_zh	label_ru	translit	stress	stressed_syl	tone
奥涅加	онега	àonièjiā	Э	niè	4
奥特拉德诺耶	отрадное	àotèlādénuòyē	А	lā	1
贝加尔	байкал	bèijiāěr	А	jiā	1
拉多加	ладога	lāduōjiā	А	lā	1
伏尔加	волга	fúěrjiā	О	fú	2
普斯科夫	псков-	pǔsīkēfū	О	kē	1
列佩利	лепель-	lièpèilì	Э	liè	4
哈桑	хасан	hāsāng	А	sāng	1
谢利格尔	селигер	xièlìgéěr	Э	gé	2
拉马	лама	lāmǎ	А	lā	1
泰梅尔	таймыр	tàiméiěr	Ы	méi	2
加利	галь-	jiālì	А	jiā	1
加里	гарь	jiālǐ	А	jiā	1
孔德	конд-	kǒngdé	О	kǒng	3
苏姆	сум-	sūmǔ	У	sū	1
乌尔	ур-	wūěr	У	wū	1
克柳奇	ключи	kèliǔqí	И	qí	2
休奇耶	щучье	xiūqíyē	У	xiū	1
古比雪夫	куйбышев-	gǔbǐxuěfū	У	gǔ	3
沙尔	шар	shāěr	А	shā	1
车臣	чечЕнь	chēchén	Э	chén	2
乌什	уш	wūshí	У	wū	1
苏霍伊	сухой	sūhuòyī	О	huò	4
彼得格勒	петроград-	bǐdégélè	А	lè	4
施密特	шмидт-	shīmìtè	И	mì	4
海斯	хейс-	hǎisī	Э	hǎi	3
哈雷	харли	hāléi	А	hā	1
费尔斯曼	ферсман-	fèiěrsīmàn	Э	fèi	4
乌沙科夫	ушаков-	wūshākēfū	О	kē	1
索尔兹伯里	солсбери	suǒěrzībólǐ	О	suǒ	3
索洛维约夫	соловьЁв-	suǒluòwéiyuēfū	О	yuē	1
鲁道夫	рудольф-	lǔdàofū	О	dào	4
罗伯逊	робертсон-	luóbóxùn	О	luó	2
波波夫	попов-	bōbōfū	О	bō	1
牛顿	ньютон-	niúdùn	О	dùn	4
南森	нансен-	nánsēn	А	nán	2
拉夫罗夫	лавров-	lāfūluófū	О	luó	2
库恩	кун-	kùēn	У	kù	4
高尔察克	колчак-	gāoěrchákè	А	chá	2
约翰	ион-	yuēhàn	О	hàn	4
伊万诺夫	иванов-	yīwànnuòfū	О	nuò	4
迪克	дик-	díkè	И	dí	2
杰斐逊	джефферсон-	jiéfěixùn	Э	jié	2
杰克逊	джексон-	jiékèxùn	Э	jié	2
戴维	давид-	dàiwéi	И	wéi	2
霍夫曼	гофман-	huòfūmàn	О	huò	4
霍尔	галль-	huòěr	А	huò	4
弗兰格尔	врангель-	fúlángéěr	А	lán	2
白令	беринг-	báilìng	Э	bái	2
贝克尔	беккер-	bèikèěr	Э	bèi	4
安德烈耶夫	андреев-	āndélièyēfū	Э	liè	4
阿德莱德	аделаида	ādéláidé	И	lái	2
新西伯利亚	новая сибирь	xīnxībólìyà	И	bó	2
马卡尔	макар	mǎkǎěr	А	kǎ	3
科穆纳尔	коммунар	kēmùnàěr	А	nà	4
克林	клин	kèlín	И	ín	2
基	кий	jī	И	jī	1
迪克森	диксон	díkèsēn	И	dí	2
戴维斯	дауэс	dàiwéisī	А	dài	4
维多利亚	виктория	wéiduōlìyà	О	duō	1
瓦西里	васильевский	wǎxīlǐ	И	xī	1
布扬	буян	bùyáng	А	yáng	2
布尔什维克	большевик	bùěrshíwéikè	И	wéi	2
别雷	белый	biéléi	Э	bié	2
贝尔	белл	bèiěr	Э	bèi	4
第聂伯	днепр	dìnièbó	Э	niè	4
通古斯	подкаменная тунгуска	tōnggǔsī	У	gǔ	3
阿纳德尔	анАдырь	ānàdéěr	А	nà	4
卢加	луга	lújiā	У	lú	2
沃尔霍夫	вОлхов	wòěrhuòfū	О	wò	4
皮萨	писса	písà	И	pí	2
维京	витим	wéijīng	И	jīng	1
沃洛格达	вологда	wòluògēdá	О	wò	4
库尔	кур	kùěr	У	kù	4
额尔古纳	аргунь	éěrgǔnà	У	gǔ	3
鄂毕	обь	èbì	О	è	4
顿	дон	dùn	О	dùn	4
纳德姆	надым	nàdémǔ	Ы	dé	2
伯朝拉	печора	bócháolā	О	cháo	2
库班	кубань	kùbān	А	bān	1
捷列克	тЕрек	jiélièkè	Э	jié	2
乌拉尔	урал	wūlāěr	А	lā	1
叶尼塞	енисей	yènísāi	Э	sāi	1
普尔	пур	pǔěr	У	pǔ	3
涅瓦	нева	nièwǎ	Э	niè	4
图们	туман-	túmén	А	mén	2
阿巴坎	абакан	ābākǎn	А	kǎn	3
卡马	кама	kǎmǎ	А	kǎ	3
梅津	мезЕнь	méijīn	Э	méi	2
乌苏里	уссУри	wūsūlǐ	У	sū	1
结雅	зЕя	jiēyǎ	Э	jiē	1
乌法	уфа	wūfǎ	А	fǎ	3
阿尔丹	алдАн	āěrdān	А	dān	1
塔夫达	тавдА	tǎfūdá	А	dá	2
伊希姆	ишИм	yīxīmǔ	И	xī	1
丘雷姆	чулым	qiūléimǔ	Ы	léi	2
维亚特卡	вятка	wéiyàtèkǎ	А	yà	4
石勒喀	шилка	shílèkā	И	shí	2
尤留赞	юрюзань	yóuliúzàn	А	zàn	4
布伊	буй	bùyī	У	bù	4
堪察加	камчатка	kānchájiā	А	chá	2
额尔齐斯	иртыш	éěrqísī	Ы	qí	2
乌赫塔	ухта	wūhètǎ	А	tǎ	3
普里皮亚季	припять	pǔlǐpíyàjì	И	lǐ	3
亚赫罗马	яхрома	yàhèluómǎ	А	yà	4
莫斯科	москва	mòsīkē	А	kē	1
安加拉	ангара	ānjiālā	А	lā	1
库马	кума	kùmǎ	А	mǎ	3
拉巴	лабА	lāba	А	ba	1
舒亚	шуя	shūyà	У	shū	1
米阿斯	миасс	mǐāsī	А	ā	1
萨马拉	самара	sàmǎlā	А	mǎ	3
别拉亚	белая	biélāyà	Э	bié	2
阿尔东	ардон	āěrdōng	О	dōng	1
布祖卢克	бузулУк	bùzǔlúkè	У	lú	2
巴克桑	баксАн	bākèsāng	А	sāng	1
丘赫洛马	чУхлома-	qiūhèluòmǎ	У	qiū	1
克拉斯诺耶	красное	kèlāsīnuòyē	А	lā	1
瓦尔代	валдай-	wǎěrdài	А	dài	4
米亚杰尔	мядель	mǐyàjiéěr	А	yà	4
乌多姆利亚	удомля	wūduōmǔlìyà	О	duō	1
巴尔古津	баргузин	bāěrgǔjīn	И	jīn	1
图拉	тура	túlā	А	lā	1
坎	кан	kǎn	А	kǎn	3
尼布楚	нерча	níbùchǔ	А	chǔ	3
卡拉苏克	карасук	kǎlāsūkè	У	sū	1
卡通	катунь	kǎtōng	У	tōng	1
布列亚	бурея	bùlièyà	А	yà	4
塔塔	тАтта	tǎtǎ	А	tǎ	3
哈尔科夫	харьков	hāěrkēfū	А	hā	1
沃罗涅日	воронеж	wòluónièrì	О	luó	2
普拉	пра	pǔlā	А	lā	1
阿拉特里	алАтырь	àlatèlǐ	А	lā	1
沃尔马	волма	wùěrmǎ	О	wù	4
托斯诺	тосна	tuōsīnuò	О	tuō	1
卡斯	кас	kǎsī	А	kǎ	3
瓦盖	вагАй	wǎgài	А	gài	4
蒂萨河	тисса	dìsàhé	А	sà	4
梅拉	мера	méilā	Э	méi	2
比亚	бия	bǐyà	И	bǐ	3
科斯特罗马	кострома	kēsītèluómǎ	А	mǎ	3
博尔贾	борзя	bóěrjiǎ	О	bó	2
雄	сюнь	xióng	У	xióng	2
涅亚	нея	nièyà	Э	niè	4
因萨尔	инсар	yīnsàěr	А	sà	4
普肖尔	псёл	pǔxiàoěr	О	xiào	4
谢廖扎	серёжа	xièliàozhà	О	liào	4
吉达	джида	jídá	А	dá	2
阿巴	абА	ābā	А	bā	1
古西	гусь	gǔxī	У	gǔ	3
科拉	кола	kēlā	О	kē	1
卢扎	луза	lúzā	У	lú	2
巴雷什	барыш	bāléishí	Ы	léi	2
科恩	кемь	kēēn	Э	kē	1
厄	ы	è	Ы	è	4
奥廖尔	олёр	àoliáoěr	О	liáo	2
斯维斯洛奇	свислочь	sīwéisīluòqí	И	wéi	2
伊斯特拉	истра	yīsītèlā	И	yī	1
维亚济马	вязьма	wéiyàjìmǎ	А	yà	4
萨尔	сал	sàěr	А	sà	4
捷里别尔卡	териберка	jiélǐbiéěrkǎ	И	lǐ	3
日兹德拉	жиздра	rìzīdélā	Ы	rì	4
苏多格达	судогда	sūduōgédá	У	sū	1
索奇	сочи	suǒqí	О	suǒ	3
塔吉尔	тагил	tǎjíěr	И	jí	2
列日	реж	lièrì	Э	liè	4
密尔	мир	mìěr	И	mì	4
沙赫乔尔斯克	шахтёрск	shāhèqiáoěrsīkè	О	qiáo	2
基日	кижи	jīrì	Ы	rì	4
维捷格拉	вытегра	wéijiégélā	Ы	wéi	2
博代博	бодайбО	bódàibó	О	bó	2
布尔	бур	bùěr	У	bù	4
捷别尔达	теберда	jiébiéěrdá	А	dá	2
乌斯	ус	wūsī	У	wū	1
艾达尔	айдар	yìdáěr	А	dá	2
卡缅卡	каменка	kǎmiǎnkǎ	А	kǎ	3
伊尔库茨克	иркутск-	yīěrkùcìkè	У	kù	4
弗拉基米尔	владимир-	fúlājīmǐěr	И	jī	1
阿列克谢耶夫卡	алексеевка	ālièkèxièyēfūkǎ	Э	xiè	4
亚历山德罗夫斯克	александровск	yàlìshāndéluófūsīkè	А	shān	1
亚历山德罗夫卡	александровка	yàlìshāndéluófūkǎ	А	shān	1
库皮诺	купино	kùpínuò	У	kù	4
沃罗诺沃	вороново-	wòluònuòwò	О	wò	4
扎列西耶	залесье-	zālièxīyē	Э	liè	4
尼古拉	никола-	nígǔlā	О	gǔ	3
乌斯秋日纳	Устюжна-	wūsīqiūrìnà	У	qiū	1
科比	кобь-	kēbǐ	О	kē	1
科兹洛夫卡	козловка-	kēzīluòfūkǎ	О	luò	4
别列兹尼基	березникИ-	biélièzīníjì	И	jì	4
古兰	гуран-	gǔlán	А	lán	2
佩图什基	петушки-	pèitúshíjī	И	jī	1
戈罗季谢	городище-	gēluójìxiè	И	jì	4
克拉萨维诺	красавино-	kèlāsàwéinuò	А	sà	4
尼科利斯克	никольск-	níkēlìsīkè	О	kē	1
捷尔任斯基	дзержинский-	jiéěrrènsījī	Ы	rèn	4
捷尔任斯克	дзержинск-	jiéěrrènsīkè	Ы	rèn	4
杰米多夫	демидов-	jiémǐduōfū	И	mǐ	3
米尔内	мирный-	mǐěrnèi	И	mǐ	3
斯莫列维奇	смолевичи-	sīmòlièwéiqí	Э	liè	4
普里莫尔斯克	приморск-	pǔlǐmòěrsīkè	О	mò	4
哈罗夫斯克	харовск-	hāluofūsīkè	А	hā	1
索斯诺夫卡	сосновка-	suǒsīnuòfūkǎ	О	nuò	4
米哈伊洛夫卡	михайловка-	mǐhāyīluòfūkǎ	А	hā	1
特罗伊茨克	троицк-	tèluóyīcíkè	О	luó	2
乌斯曼	усмань-	wūsīmàn	У	wū	1
切列姆霍沃	черемхОво-	qiēlièmǔhuòwò	О	huò	4
西伯利亚	сибирь	xībólìyà	И	bó	2
帕尼诺	панино-	pànínuò	А	pà	4
普希金诺	пушкино-	pǔxījīnnuò	У	pǔ	3
列奇察	речица-	lièqíchá	Э	liè	4
莫斯科夫斯基	московский-	mòsīkēfūsījī	О	kē	1
基尔扎奇	киржач	jīěrzhāqí	А	zhā	1
维特	вить	wéitè	И	wéi	2
希洛克	хилок	xīluòkè	О	luò	4
鲁扎	руза	lǔzā	У	lǔ	3
伊尔比特	ирбИт	yīěrbǐtè	И	bǐ	3
布拉	була	bùlā	А	lā	1
雷西瓦	лысьва	léixīwǎ	Ы	léi	2
赤塔	чита	chìtǎ	А	tǎ	3
卡尔加特	каргАт	kǎěrjiātè	А	jiā	1
乌拉	улла	wūlā	У	wū	1
杜布纳	дубна	dùbùnà	А	nà	4
瑟乔夫卡	сычёвка-	sèqiáofūkǎ	О	qiáo	2
谢利措	сельцо-	xièlìcuò	О	cuò	4
谢米卢基	семилуки-	xièmǐlújī	У	lú	2
斯图皮诺	ступино-	sītúpínuò	У	tú	2
胡日尔	хужир-	húrìěr	Ы	rì	4
维捷布斯克	витебск-	wéijiébùsīkè	И	wéi	4
格罗杰科沃	гродеково-	géluójiékēwò	Э	jié	4
锡安	сиан-	xīān	А	ān	1
阿斯特拉罕	астрахань-	āsītèlāhǎn	А	ā	1
赖奇欣斯克	райчИхинск-	làiqíxīnsīkè	И	qí	2
安东诺夫卡	антоновка-	āndōngnuòfūkǎ	О	dōng	1
梅德韦杰夫	медведев-	méidéwéijiéfū	Э	wéi	2
奥利亚	оля-	àolìyà	О	ào	4
扎里亚	заря-	zālǐyà	А	yà	4
罗姆内	ромны-	luómǔnèi	О	luó	2
伊萨	иса-	yīsà	И	yī	1
安东诺夫	антонов-	āndōngnuòfū	О	dōng	1
阿克赛	аксай-	ākèsài	А	sài	4
阿穆尔泽特	амурзет-	āmùěrzétè	Э	zé	2
沃尔库塔	воркута	wòěrkùtǎ	А	tǎ	3
乌恰	уча	wūqià	А	qià	4
察察	цацА-	cháchá	А	chá	2
苏维埃茨基	советский-	sūwéiāicíjī	Э	wéi	2
沙金	шакин-	shājìn	А	shā	1
彼得罗夫斯基	петровский-	bǐdéluófūsījī	О	luó	2
巴巴耶沃	бабаево-	bābāyēwò	А	bā	1
伏尔加格勒	волгоград	fúěrjiāgēlè	А	lè	4
乔伊斯	чойский	qiáoyīsī	О	qiáo	2
索宾卡	собинка-	suǒbīnkǎ	О	suǒ	3
德米特罗夫	дмитров-	démǐtèluófū	И	mǐ	3
别尔哥罗德	белгород-	biéěrgēluódé	Э	bié	2
哈拉巴利	харабали-	hālābālì	И	lì	4
苏维埃	совет	sūwéiāi	Э	wéi	2
弗罗洛沃	фролово-	fúluóluòwò	О	luò	4
扎维京斯克	завитИнск-	zāwéijīngsīkè	И	jīng	1
科罗恰	корОча-	kēluóqià	О	luó	2
亚历山德罗夫	александров-	yàlìshāndéluófū	А	shān	1
格赖沃龙	грайворон-	gélàiwòlóng	А	lài	4
卡梅贾克	камызЯк-	kǎméijiǎkè	А	jiǎ	3
连斯克	ленск-	liánsīkè	Э	lián	2
切列波韦茨	череповец-ы	qiēlièbōwéicí	Э	wéi	2
巴赫奇萨赖	бахчисарай-	bāhèqísàlài	А	lài	4
加夫里洛夫镇	гаврилов посад-	jiāfūlǐluòfūzhèn	И	lǐ	3
新奥斯科尔	новый оскол	xīnàosīkēěr	О	kē	1
斯柳江卡	слюдЯнка-	sīliǔjiāngkǎ	А	jiāng	1
特鲁布切夫斯克	трубчевск-	tèlǔbùqièfūsīkè	Э	qiè	4
谢夫斯克	севск-	xièfūsīkè	Э	xiè	4
契诃夫	чехов-	qìhēfū	Э	qì	4
腾达	тында-	téngdá	Ы	téng	2
阿赫图宾斯克	ахтубинск-	āhètúbīnsīkè	У	tú	2
基廉斯克	киренский	jīliánsīkè	Э	lián	2
拉缅斯科耶	раменск-	lāmiǎnsīkēyē	А	lā	1
别洛戈尔斯克	белогорск-	biéluògēěrsīkè	О	gē	1
普切日	пучеж-	pǔqiērì	У	pǔ	3
科捷利尼科沃	котельниково-	kējiélìníkēwò	Э	jié	2
苏罗维基诺	суровИкино-	sūluówéijīnuò	И	wéi	2
泰舍特	тайшет-	tàishètè	Э	shè	4
博古恰尔	богучар-	bógǔqiàěr	А	qià	4
巴拉克拉瓦	балаклава-	bālākèlāwǎ	А	lā	1
兹伦卡	злынка-	zīlúnkǎ	Ы	lún	2
苏拉日	сураж-	sūlārì	А	lā	1
斯塔罗杜布	стародуб-	sītǎluódùbù	У	dù	4
奎屯	куйтун-	kuítún	У	tún	2
卡拉奇	калач-	kǎlāqí	А	lā	1
科利丘吉诺	кольчугино-	kēlìqiūjínuò	У	qiū	1
波沃里诺	повОрино-	bōwòlǐnuò	О	wò	4
大乌斯秋格	великий устюг	dàwūsīqiūgé	У	wū	1
尤扎	южа-	yóuzhā	У	yóu	2
戈罗杰茨	городец-	gēluójiécí	Э	jié	2
姆格林	мглин-	mǔgélín	И	lín	2
波切普	пОчеп-	bōqiēpǔ	О	bō	1
科洛姆纳	коломна-	kēluòmǔnà	О	luò	4
纳里马诺夫	наримАнов-	nàlǐmǎnuòfū	А	mǎ	3
帕拉索夫卡	палласовка-	pàlāsuǒfūkǎ	А	lā	1
斯科沃罗季诺	сковородинО-	sīkēwòluōjìnuò	О	nuò	4
舍别基诺	шебЕкино-	shěbiéjīnuò	Э	bié	2
基涅什马	кинешма-	jīnièshímǎ	И	jī	1
维丘加	вичуга-	wéiqiūjiā	И	qiū	1
奥斯特罗戈日斯克	острогожск-	àosītèluógērìsīkè	О	gē	1
莫戈恰	могОча-	mògēqià	О	gē	1
乌留平斯克	урюпинск-	wūliúpíngsīkè	У	liú	2
谢别日	сЕбеж-	xièbiérì	Э	xiè	4
切巴尔库尔	чебаркуль	qiēbāěrkùěr	У	kù	4
伊夫杰利	ивдель	yīfūjiélì	И	yī	1
萨基	саки-	sà	А	sà	4
尤里耶韦茨	юрьевец-	yóulǐyēwéicí	У	yóu	2
布拉茨克	братск-	bùlācíkè	А	lā	1
布图尔利诺夫卡	бутурлиновка-	bùtúěrlìnuòfūkǎ	И	lì	4
富尔马诺夫	фурманов-	fùěrmǎnuòfū	У	mǎ	3
乌斯季伊利姆斯克	усть илимск-	wūsījìyīlìmǔsīkè	И	lì	4
安纳	аннино-	ānnà	А	ān	1
阿尔扎马斯	арзамас-	āěrzāmǎsī	А	mǎ	3
苏兹达尔	суздаль-	sūzīdáěr	У	sū	1
谢列霍夫	шЕлехов-	xièlièhuòfū	Э	xiè	4
济马	зима-	jìmǎ	А	mǎ	3
古西赫鲁斯塔利内	гусь хрустальный	gǔxīhèlǔsītǎlìnèi	А	gǔ_tǎ	3_3
乌斯季库特	усть кут	wūsījìkùtè	У	wū_kù	1_4
卡梅什科沃	камешково-	kǎméishíkēwò	А	kǎ	3
科托沃	котово-	kētuōwò	О	kē	1
帕列赫	палех-	pàlièhè	А	pà	4
捷伊科沃	тейково-	jiéyīkēwò	Э	jié	2
托季马	тотьма-	tuōjìmǎ	О	tuō	1
戈罗霍韦茨	гороховец-	gēluóhuòwéicí	Э	wéi	2
克拉斯诺佩列科普斯克	красноперекопск-	kèlāsīnuòpèilièkēpǔsīkè	О	kē	1
辛菲罗波尔	симферополь-	xīnfēiluóbōěr	О	luó	2
日尔诺夫斯克	жирновск-	rìěrnuòfūsīkè	Ы	rì	4
波多利斯克	подольск-	bōduōlìsīkè	О	duō	1
布拉戈维申斯克	благовещенск-	bùlāgēwéishēnsīkè	Э	wéi	2
列宁斯克	ленинск-	lièníngsīkè	Э	liè	4
卡希拉	кашира	kǎxīlā	Ы	xī	1
佳季科沃	дятьково-	jiājìkēwò	А	jiā	1
比罗比詹	биробиджан-	bǐluóbǐzhān	А	zhān	1
博布罗夫	бобров-	bóbùluófū	О	luó	2
科尔萨科夫	корсаков	kēěrsàkēfū	О	kē	1
占科伊	джанкой-	zhànkēyī	О	kē	1
科特拉斯	котлас-	kētèlāsī	О	kē	1
索科尔	сокол-	suǒkēěr	О	suǒ	3
奥萨	оса-	àosà	А	sà	4
巴甫洛夫斯克	павловск-	bāfǔluòfūsīkè	А	bā	1
茹科夫卡	жуковка-	rúkēfūkǎ	У	rú	2
埃尔季利	эртиль-	āiěrjìlì	И	jì	4
布良斯克	брянск-	bùliángsīkè	А	liáng	2
新济布科夫	новозыбков-	xīnjìbùkēfū	Ы	jì	4
列宁	ленин-	lièníng	Э	liè	4
乌涅恰	унеча-	wūnièqià	Э	niè	4
奥布卢奇耶	облучье-	àobùlúqíyē	У	lú	2
伊希姆拜	ишимбай-	yīxīmǔbài	А	bài	4
乌索利耶	усолье-	wūsuǒlìyé	О	suǒ	3
尼古拉耶夫斯克	николаевск-	nígǔlāyēfūsīkè	А	lā	1
新霍皮奥尔斯克	новохопёрск-	xīnhuòpíàoěrsīkè	О	ào	4
莫扎伊斯克	можайск-	mòzhāyīsīkè	А	zhā	1
扎沃尔日斯克	заволжск-	zāwòěrrìsīkè	О	wò	4
普里沃尔日斯克	приволжск-	pǔlǐwòěrrìsīkè	О	wò	4
鲁德尼亚	рудня-	lǔdéníyà	У	lǔ	3
基洛夫斯克	кировск-	jīluòfūsīkè	И	jī	1
托罗佩茨	торОпец-	tuōluōpèicí	О	luō	1
杜博夫卡	дубовка-	dùbófūkǎ	О	bó	2
奥洛涅茨	олОнец-	àoluòniècí	О	luò	4
列斯诺伊	лесной	lièsīnuòyī	О	nuò	4
瓦尼诺	ванино	wǎnínuò	А	wǎ	3
利斯特维扬卡	листвЯнка	lìsītèwéiyángkǎ	А	yáng	2
普列谢茨克	плесецк	pǔlièxiècíkè	Э	xiè	4
鄂霍次克	охотск	àohuòcìkè	О	huò	4
弗拉基米尔·弗拉基米罗维奇·普京	владимир владимирович путин	fúlājīmǐěrfúlājīmǐluówéiqípǔjīng	ИИУ	jī_jī_pǔ	1_1_3
基里尔	кирилл	jīlǐěr	И	lǐ	3
科尔尼洛夫	корниловская	kēěrníluòfū	И	ní	2
克里莫夫	климов	kèlǐmòfū	И	lǐ	3
佩拉格娅	пелагея	pèilāgéyà	Э	gé	2
叶夫根尼·叶夫图申科	евгений евтушенко	yèfūgēnníyèfūtúshēnkē	ЭЭ	gē_shēn	1_1
瓦列里娅	валерия	wǎlièlǐyà	Э	liè	4
卡宾	карпин	kǎbīn	А	kǎ	3
娜塔莉	натали	nàtǎlì	И	lì	4
伊凡	иван	yīfán	А	fán	2
奥克兰	оклан	àokèlán	А	lán	2
涅列赫塔	нерехта	nièlièhètǎ	Э	niè	4
齐赫文	тихвинский	qíhèwén	И	qí	2
托卡列夫	токарев	tuōkǎlièfū	О	tuō	1
斯维拉娜·亚历塞维奇	светлана алексиевич	sīwéilānàyàlìsāiwéiqí	АЭ	lā_sāi	1_1
托尔巴奇克	толбачик	tuōěrbāqíkè	А	bā	1
斯大林	сталин	sīdàlín	А	dà	4
巴甫洛夫	павлов	bāfǔluòfū	А	bā	4
康斯坦丁·乌斯季诺维奇·契尔年科	константин устинович черненко	kāngsītǎndīngwūsījìnuòwéiqíqìěrniánkē	ИИЭ	dīng_jì_nián	1_4_2
卜弼德	будберг	bǔbìdé	У	bǔ	3
阿列克谢·伊万诺维奇·李可夫	алексей иванович рыков	ālièkèxièyīwànnuòwéiqílǐkěfū	ЭАЫ	xiè_wàn_lǐ	4_4_3
波列伏依	полевой	bōlièfúyī	О	fú	2
苏霍姆林斯基	сухомлинский	sūhuòmǔlínsījī	И	lín	2
尼古拉耶夫	николаев	nígǔlāyēfū	А	lā	1
克鲁泡特金	кропоткин	kèlǔpàotèjīn	О	pào	4
列夫·托尔斯泰	лев толстой	lièfūtuōěrsītài	ЭО	liè_tài	4_4
列昂尼德	леонид	lièángnídé	И	ní	2
韦列夏金	верещагин	wéilièxiàjīn	А	xià	4
伊丽莎白·彼得罗芙娜·罗曼诺娃	елизавета петровна романова	yīlìshābáibǐdéluófúnàluómànnuòwá	ЭОА	bái_luó_màn	2_2_4
夏伯阳	чапаев	xiàbóyáng	А	bó	2
厄尔布鲁士	эльбрус	èěrbùlǔshì	У	lǔ	3
克尔	келля	kèěr	Э	kè	4
波格拉尼奇内	пограничный	bōgélāníqínèi	И	ní	2
斯米尔诺夫	смирнова	sīmǐěrnuòfū	О	nuò	4
戈梅利	гомель	gēméilì	О	gē	1
奥尔沙	орша	àoěrshā	О	ào	4
科	ко	kē	О	kē	1
罗曼诺夫	романовка	luómànnuòfū	А	màn	4
莫吉廖夫	могилЁв	mòjíliáofū	О	liáo	2
达夫列卡诺沃	давлеканово	dáfūlièkǎnuòwò	А	kǎ	3
明斯克	минск	míngsīkè	И	míng	2
斯摩棱斯克	смоленск	sīmóléngsīkè	Э	léng	2
涅曼	неман	nièmàn	Э	niè	4
波罗的斯克	балтийск	bōluódīsīkè	И	dī	1
古谢夫	гусев	gǔxièfū	У	gǔ	3
斯韦特雷	светлый	sīwéitèléi	Э	wéi	2
秋明	тюмень	qiūmíng	Э	míng	2
巴尔瑙尔	барнаул	bāěrnǎoěr	У	nǎo	3
克麦罗沃	кемерово	kèmàiluówò	Э	kè	4
克孜勒	кызыл	kèzīlè	Ы	zī	1
萨列哈尔德	салехард	sàlièhāěrdé	А	hā	1
雅库茨克	якутск	yǎkùcíkè	У	kù	4
乌兰乌德	улан удэ	wūlánwūdé	АЭ	lán_dé	2_2
别列别伊	белебЕй	biélièbiéyī	Э	bié	2
别廖夫	белёв	biéliáofū	О	liáo	2
野猪河	тЕтюхе	yězhūhé	Э	yě	3
达利涅戈尔斯克	дальнегорск	dálìniègēěrsīkè	О	gē	1
加特契纳	гатчина	jiātèqìnà	А	jiā	1
别林斯基	белинский	biélínsījī	И	lín	2
别洛沃	белово	biéluòwò	О	luò	4
别洛焦尔斯克	белозЕрск	biéluòjiāoěrsīkè	О	jiāo	1
基谢廖夫斯克	киселёвск	jīxièliáofūsīkè	О	liáo	2
克利莫夫斯克	климовск	kèlìmòfūsīkè	И	lì	4
塞瓦斯托波尔	севастополь	sèwǎsītuōbōěr	О	tuō	1
列索扎沃茨克	лесозаводск	lièsuǒzāwòcíkè	О	wò	4
基里希	кИриши	jīlǐxī	И	jī	1
别洛列茨克	белорецк	biéluòliècíkè	Э	liè	4
别尔茨克	бердск	biéěrcíkè	Э	bié	2
克尼亚吉尼诺	княгИнино	kèníyàjínínuò	И	jí	2
科夫多尔	ковдОр	kēfūduōěr	О	duō	1
科维尔基诺	ковылкино	kēwéiěrjīnuò	Ы	wéi	2
