label_zh	label_ru	translit	stress	stressed_syl	tone
别廖佐夫斯基	берёзовский	biéliáozuǒfūsījī	О	liáo	2
别斯兰	беслан	biésīlán	А	lán	2
苏达克	судак	sūdákè	А	dá	2
科加雷姆	когалым	kējiāléimǔ	Ы	léi	2
科金斯克	кодинск	kējīnsīkè	О	kē	1
科泽利斯克	козельск	kēzélìsīkè	Э	zé	2
博尔加尔	болгар	bóěrjiāěr	А	jiā	1
博洛戈耶	бологое	bóluògēyē	О	gē	1
博洛特诺耶	болотное	bóluòtènuòyē	О	luò	4
柳比姆	любим	liǔbǐmǔ	И	bǐ	3
列宁诺戈尔斯克	лениногорск	lièníngnuògēěrsīkè	О	gē	1
比留辛斯克	бирюсинск	bǐliúxīnsīkè	И	xīn	1
比利比诺	билибино	bǐlìbǐnuò	И	lì	4
比尔斯克	бирск	bǐěrsīkè	И	bǐ	3
利库斯拉夫尔	лихославль	lìkùsīlāfūěr	А	lā	1
洛布尼亚	лобня	luòbùníyà	О	luò	4
莱蒙托夫	лермонтов	láimēngtuōfū	Э	lái	2
伊万哥罗德	ивангород	yīwàngēluódé	АО	wàn_gē	4_1
卡缅诺戈尔斯克	каменногорск	kǎmiǎnnuògēěrsīkè	О	gē	1
孔德罗沃	кОндрово	kǒngdéluówò	О	kǒng	3
康斯坦丁诺夫斯克	константиновск	kāngsītǎndīngnuòfūsīkè	И	dīng	1
利夫内	ливны	lìfūnèi	И	lì	4
布拉戈达尔内	благодарный	bùlāgēdáěrnèi	А	dá	2
科纳科沃	конаково	kēnàkēwò	О	kē	1
孔多波加	кондопога	kǒngduōbōjiā	О	bō	1
马加丹	магадан	mǎjiādān	А	dān	1
利基诺-杜廖沃	ликинО дулёво	lìjīnuòdùliáowò	ОО	nuò_liáo	4_2
利普基	лИпки	lìpǔjī	И	lì	4
利斯基	лИски	lìsījī	И	lì	4
别洛亚尔斯克	белоярск-	biéluòyàěrsīkè	А	yà	4
科里亚日马	корЯжма	kēlǐyàrìmǎ	А	yà	4
科捷利尼奇	котельнич	kējiélìníqí	Э	jié	2
科托夫斯克	котОвск	kētuōfūsīkè	О	tuō	1
科赫马	кохма	kēhèmǎ	О	kē	1
洛西诺-彼得罗夫斯基	лосино петровский	luòxīnuòbǐdéluófūsījī	ИО	xī_luó	1_2
卢霍维齐	луховицы	lúhuòwéiqí	И	wéi	2
雷斯科沃	лысково	léisīkēwò	Ы	léi	2
博戈罗季茨克	богородицк	bógēluójìcíkè	О	luó	2
博戈罗茨克	богородск	bógēluócíkè	О	luó	2
科洛格里夫	кологрив	kēluògélǐfū	И	lǐ	3
波戈托尔	боготол	bōgētuōěr	О	tuō	1
乌拉尔地区卡缅斯克	каменск уральский	wūlāěrdìqūkǎmiǎnsīkè	АА	lā_kǎ	1_3
马尔梅日	малмыж	mǎěrméirì	Ы	mǎ	3
小阿尔汉格尔斯克	малоархангельск	xiǎoāěrhàngéěrsīkè	А	hàn	4
小雅罗斯拉夫韦茨	малоярославец	xiǎoyǎluósīlāfūwéicí	А	lā	1
科尔帕舍沃	колпашево	kēěrpàshèwò	А	pà	4
库尔干	курган	kùěrgān	А	gān	1
维堡	выборг	wéibǎo	Ы	wéi	2
科拉布利诺	кораблинО	kēlābùlìnuò	О	nuò	4
顿涅茨克	донецк	dùnniècíkè	Э	niè	4
科斯捷列沃	костерёво	kēsījiélièwò	О	liè	4
尼科尔斯科耶	никольское	níkēěrsīkēyé	О	kē	1
新拉多加	новая ладога	xīnlāduōjiā	А	lā	1
切尔努什卡	чернушка	qiēěrnǔshíkǎ	У	nǔ	3
红苏林	красный сулин	hóngsūlín	У	sū	1
红霍尔姆	красный холм	hónghuòěrmǔ	О	huò	4
波德波罗日耶	подпорожье	bōdébōluórìyē	О	luó	2
斯韦托戈尔斯克	светогорск	sīwéituōgēěrsīkè	ЭО	gē	1
普里奥焦尔斯克	приозерск	pǔlǐàojiāoěrsīkè	О	jiāo	1
布伊纳克斯克	буйнакск	bùyīnàkèsīkè	А	nà	4
科罗廖夫	королёв	kēluóliáofū	О	liáo	2
马马德什	мамадыш	mǎmǎdéshí	Ы	dé	2
马莫诺夫	мамоново	mǎmònuòfū	О	mò	4
杰格佳尔斯克	дегтярск	jiégéjiāěrsīkè	А	jiā	1
库夫希诺沃	кувшиново	kùfūxīnuòwò	Ы	xī	1
库德姆卡尔	кудымкар	kùdémǔkǎěr	Ы	dé	2
库万德克	кувандык	kùwàndékè	Ы	dé	2
弗谢沃洛日斯克	всеволожск	fúxièwòluòrìsīkè	Э	xiè	4
维索茨克	высоцк	wéisuǒcíkè	О	suǒ	3
雷特卡里诺	лыткарино	léitèkǎlǐnuò	А	kǎ	3
谢尔托洛夫	сертолово	xièěrtuōluòfū	Э	xiè	4
梅吉翁	мегион	méijíwēng	О	wēng	1
下诺夫哥罗德	нижний новгород	xiànuòfūgēluódé	О	nuò	4
库里尔斯克	курильск	kùlǐěrsīkè	И	lǐ	3
库尔洛沃	курлово	kùěrluòwò	У	kù	4
梅斯基	мыски	méisījī	И	méi	2
小维舍拉	малая вишера	xiǎowéishèlā	И	wéi	2
马尔戈别克	малгобек	mǎěrgēbiékè	Э	bié	2
克拉斯诺维舍尔斯克	красновишерск	kèlāsīnuòwéishèěrsīkè	И	wéi	2
柳季诺沃	людиново	liǔjìnuòwò	И	jì	4
克斯托沃	кстово	kèsītuōwò	О	tuō	1
库宾卡	кубинка	kùbīnkǎ	У	kù	4
斯兰齐	сланцы	sīlánqí	А	lán	2
博洛霍沃	болохово	bóluòhuòwò	О	bó	2
梅日戈尔耶	межгорье	méirìgēěryē	О	gē	1
梅德韦日耶戈尔斯克	медвежьегорск	méidéwéirìyēgēěrsīkè	ЭО	wéi_gē	2_1
克拉斯诺斯洛博茨克	краснослободск	kèlāsīnuòsīluòbócíkè	АО	lā_bó	1_2
马林斯基镇	мариинский посад	mǎlínsījīzhèn	И	lí	2
布琼诺夫斯克	будённовск	bùqióngnuòfūsīkè	О	qióng	2
布因斯克	буинск	bùyīnsīkè	И	yīn	1
克拉斯诺图林斯克	краснотурьинск	kèlāsīnuòtúlínsīkè	АУ	lā_tú	1_2
别洛列琴斯克	белореченск	biéluòlièqínsīkè	ЭЭ	bié_liè	2_4
克什特姆	кыштым	kèshítèmǔ	Ы	tè	4
沃洛索沃	волосово	wòluòsuǒwò	О	wò	4
良托尔	лянтор	liángtuōěr	О	liáng	2
米尼亚尔	миньяр	mǐníyàěr	А	yà	4
米哈伊洛夫	михайлов	mǐhāyīluòfū	А	hā	1
季赫温	тихвин	jìhèwēn	И	jì	4
阿宾斯克	абинск	ābīnsīkè	А	ā	1
阿普歇伦斯克	апшеронск	āpǔxiēlúnsīkè	О	lún	2
拉贝特南吉	лабытнанги	lābèitènánjí	А	nán	2
拉甘	лагАнь	lāgān	А	gān	1
梅连基	мЕленки	méiliánjī	Э	méi	2
利戈夫	льгов	lìgēfū	О	gē	1
阿纳帕	анапа	ānàpà	А	nà	4
捷姆留克	темрюк	jiémǔliúkè	У	liú	2
格奥尔吉耶夫斯克	георгиевск	géàoěrjíyēfūsīkè	О	ào	4
新罗西斯克	новороссийск	xīnluóxīsīkè	И	xī	1
恰克图	кяхта	qiàkètú	А	qià	4
博罗夫斯克	боровск	bóluófūsīkè	О	bó	2
皮卡廖沃	пикалёво	píkǎliáowò	О	liáo	2
科列诺夫斯克	коренОвск	kēliènuòfūsīkè	О	nuò	4
哈德任斯克	хадыженск	hādérènsīkè	Ы	dé	2
达吉斯坦奥格尼	дагестанские огни	dájísītǎnàogéní	АИ	tǎn_ní	3_2
喀山	казань	kāshān	А	shān	1
马卡里耶夫	макарьев	mǎkǎlǐyēfū	А	kǎ	3
马库希诺	макушино	mǎkùxīnuò	У	kù	4
梅日杜列琴斯克	междуреченск	méirìdùlièqínsīkè	ЭЭ	méi_liè	2_4
莫日加	можга	mòrìjiā	А	jiā	1
米努辛斯克	минусинск	mǐnǔxīnsīkè	И	xīn	1
梅列乌兹	мелеуз	méilièwūzī	У	wū	1
门捷列夫斯克	менделеевск	ménjiélièfūsīkè	Э	liè	4
大卡缅	большой камень	dàkǎmiǎn	А	kǎ	3
博罗季诺	бородино	bóluójìnuò	О	nuò	4
夏西斯特罗伊	сясьстрой	xiàxīsītèluóyī	АО	xià_luó	4_2
库梅尔套	кумертау	kùméiěrtào	А	tào	4
昆古尔	кунгУр	kūngǔěr	У	gǔ	3
科斯托穆克沙	костомукша	kēsītuōmùkèshā	У	mù	4
科捷尔尼基	котельники	kējiéěrníjī	Э	jié	2
克拉斯诺扎沃茨克	краснозаводск	kèlāsīnuòzāwòcíkè	АО	lā_wò	1_4
红兹纳缅斯克	краснознаменск	hóngzīnàmiǎnsīkè	А	nà	4
费奥多西亚	феодосия	fèiàoduōxīyà	О	duō	1
鄂木斯克	омск	èmùsīkè	О	è	4
克拉斯诺卡缅斯克	краснокаменск	kèlāsīnuòkǎmiǎnsīkè	АА	lā_kǎ	1_3
克拉斯诺卡姆斯克	краснокамск	kèlāsīnuòkǎmǔsīkè	АА	lā_kǎ	1_3
顿河畔罗斯托夫	ростов на дону	dùnhépànluósītuōfū	ОУ	dùn_tuō	4_1
梅德诺戈尔斯克	медногорск	méidénuògēěrsīkè	О	gē	1
梅登	медынь	méidēng	Ы	dēng	1
库罗夫斯科耶	куровскОе	kùluófūsīkēyē	О	luó	2
库尔塔梅什	куртамыш	kùěrtǎméishí	Ы	méi	2
库萨	куса	kùsà	А	sà	4
雅尔塔	ялта	yǎěrtǎ	А	yǎ	3
博尔	бор	bóěr	О	bó	2
叶卡捷琳堡	екатеринбург	yèkǎjiélínbǎo	У	bǎo	3
克拉斯诺乌菲姆斯克	красноуфимск	kèlāsīnuòwūfēimǔsīkè	АИ	lā_fēi	1_1
红库特	красный кут	hóngkùtè	У	kù	4
车里雅宾斯克	челябинск	chēlǐyǎbīnsīkè	А	yǎ	3
米哈伊洛夫斯克	михайловск	mǐhāyīluòfūsīkè	А	hā	1
什利谢利堡	шлиссельбург	shílìxièlìbǎo	ИУ	lì_bǎo	4_3
切尔诺戈尔斯克	черногорск	qiēěrnuògēěrsīkè	О	gē	1
蒙切戈尔斯克	мончегорск	mēngqiēgēěrsīkè	О	gē	1
莫罗佐夫斯克	морозовск	mòluózuǒfūsīkè	О	luó	2
莫尔尚斯克	моршанск	mòěrshàngsīkè	А	shàng	4
纳扎罗沃	назарово	nàzāluówò	А	zā	1
纳兹兰	назрань	nàzīlán	А	lán	2
拉杜什金	ладушкин	lādùshíjīn	А	lā	1
姆岑斯克	мценск	mǔcénsīkè	Э	cén	2
梅什金	мышкин	méishénjīn	Ы	méi	2
加里宁格勒	калининград	jiālǐnínggélè	А	lè	4
纳霍德卡	находка	nàhuòdékǎ	О	huò	4
拉宾斯克	лабинск	lābīnsīkè	А	lā	1
缅泽林斯克	мензелинск	miǎnzélínsīkè	И	miǎn	3
梅晓夫斯克	мещовск	méixiǎofūsīkè	О	xiǎo	3
米昆	микунь	mǐkūn	У	kūn	1
萨基	саки	sàjī	А	sà	4
彼尔姆	пермь	bǐěrmǔ	Э	bǐ	3
穆拉希	мураши	mùlāxī	Ы	xī	1
克雷姆斯克	крымск	kèléimǔsīkè	Ы	léi	2
库尔加宁斯克	курганинск	kùěrjiāníngsīkè	А	jiā	1
克拉斯诺乌拉尔斯克	красноуральск	kèlāsīnuòwūláěrsīkè	А	lá	2
库列巴基	кулебаки	kùlièbājī	А	bā	1
上萨尔达	верхняя салдА	shàngsàěrdá	А	dá	2
上图拉	верхняя турА	shàngtúlā	А	lā	1
韦利日	велиж	wéilìrì	Э	wéi	2
韦利斯克	вельск	wéilìsīkè	Э	wéi	2
上扬斯克	верхоянск	shàngyángsīkè	А	yá	2
波赫维斯特涅沃	пОхвистнево	bōhèwéisītènièwò	О	bō	1
韦西耶贡斯克	весьегонск	wéixīyēgòngsīkè	О	gòng	4
鲍里索格列布斯克	борисоглебск	bàolǐsuǒgēlièbùsīkè	ИЭ	lǐ_liè	3_4
莫萨利斯克	мосальск	mòsàlìsīkè	А	sà	4
穆拉夫连科	муравленко	mùlāfūliánkē	Э	lián	2
摩尔曼斯克	мурманск	móěrmànsīkè	У	mó	2
鲍里索夫	борисов	bàolǐsuǒfū	И	lǐ	3
瓦卢伊基	валуйки	wǎlúyījī	У	lú	2
托木斯克	томск	tuōmùsīkè	О	tuō	1
库什瓦	кушва	kùshíwǎ	У	kù	4
塞兹兰	сызрань	sāizīlán	Ы	sāi	1
上塔吉尔	верхний тагил	shàngtǎjíěr	И	jí	2
上乌法列伊	верхний уфалей	shàngwūfǎlièyī	Э	liè	4
纳罗-福明斯克	наро фоминск	nàluófúmíngsīkè	АИ	nà_míng	4_2
纳尔特卡拉	нарткалА	nàěrtèkǎlā	А	lā	1
涅韦尔	нЕвель	nièwéiěr	Э	niè	4
韦尼奥夫	венёв	wéiníàofū	О	níào	4
格连吉克	геленджик	gēliánjíkè	Ы	jí	2
古利克维奇	гулькевичи	gǔlìkèwéiqí	Э	kè	4
上佩什马	верхняя пышма	shàngpèishímǎ	Ы	pèi	4
阿尔汉格尔斯克	архангельск	āěrhàngéěrsīkè	А	hàn	4
维德诺耶	видное	wéidénuòyé	И	wéi	2
米列罗沃	миллерово	mǐlièluówò	И	mǐ	3
维尔霍图里耶	верхотурье	wéiěrhuòtúlǐyé	ЭУ	wéi_tú	2_2
古杰尔梅斯	гудермес	gǔjiéěrméisī	Э	méi	2
古科沃	гуково	gǔkēwò	У	gǔ	3
维霍列夫卡	вихоревка	wéihuòlièfūkǎ	И	wéi	2
沃尔戈列琴斯克	волгореченск	wòěrgēlièqínsīkè	ОЭ	wò_liè	4_4
维亚泽姆斯基	вяземский	wéiyàzémǔsījī	А	yà	4
古西诺奥泽尔斯克	гусиноозёрск	gǔxīnuòàozéěrsīkè	ИО	xī_zé	1_2
格列米亚钦斯克	гремячинск	gélièmǐyàqīnsīkè	А	yà	4
韦列夏吉诺	верещагино	wéilièxiàjínuò	А	xià	4
韦列亚	верея	wéilièyà	А	yà	4
上乌拉尔斯克	верхнеуральск	shàngwūláěrsīkè	А	lá	2
波罗奈斯克	поронайск	bōluónàisīkè	А	nài	4
维柳钦斯克	вилючинск	wéiliǔqīnsīkè	У	liǔ	3
陶里亚蒂	тольятти	táolǐyàdì	А	yà	4
波雷萨耶沃	полысаево	bōléisàyēwò	А	sà	4
波利亚尔内耶佐里	полярные зори	pōlìyàěrnèiyēzuǒlǐ	АО	yà_zuǒ	4_3
波列斯克	полесск	bōlièsīkè	Э	liè	4
纳瓦希诺	навашино	nàwǎxīnuò	А	wǎ	3
纳沃洛基	наволоки	nàwòluòjī	А	nà	4
加夫里洛夫-亚姆	гаврилов ям	jiāfūlǐluòfūyàmǔ	ИА	lǐ_yà	3_4
加加林	гагарин	jiājialín	А	jiā	1
苏尔古特	сургут	sūěrgǔtè	У	gǔ	3
纳里扬马尔	нарьян мар	nàlǐyángmǎěr	А	mǎ	3
杰多夫斯克	дедовск	jiéduōfūsīkè	Э	jié	2
达尔马托沃	далмАтово	dáěrmǎtuōwò	А	mǎ	3
波利亚尔内	полярный	pōlìyàěrnèi	А	yà	4
普拉夫金斯克	правдинск	pǔlāfūjīnsīkè	А	lā	1
维柳伊斯克	вилюйск	wéiliǔyīsīkè	У	liǔ	3
波列夫斯科伊	полевской	bōlièfūsīkēyī	О	kē	1
特维尔	тверь	tèwéiěr	Э	wéi	2
涅韦尔斯克	невельск	nièwéiěrsīkè	Э	niè	4
沃斯克列先斯克	воскресенск	wòsīkèlièxiānsīkè	Э	xiān	1
波舍霍尼耶	пошехонье	bōshèhuòníyē	О	huò	4
维列伊卡	вилейка	wéilièyīkǎ	Э	liè	4
克拉斯诺亚尔斯克	красноярск	kèlāsīnuòyàěrsīkè	А	yà	4
叶夫帕托里亚	евпатория	yèfūpàtuōlĭyà	О	tuō	1
雅罗斯拉夫尔	ярославль	yǎluósīlāfūěr	А	lā	1
列别姜	лебедянь	lièbiéjiāng	А	jiāng	1
多莫杰多沃	домодедово	duōmòjiéduōwò	Э	jié	2
维亚茨基耶波利亚内	вятские поляны	wéiyàcíjīyēpōlìyànèi	АА	yà_yà	4_4
格里卓维次	грязовец	gélǐzhuówéicì	А	lǐ	3
梅季希	мытищи	méijìxī	И	jì	4
沃利斯克	вольск	wòlìsīkè	О	wò	4
古巴哈	губАха	gǔbāhā	А	bā	1
顿斯科伊	донской	dùnsīkēyī	О	kē	1
季米特洛夫斯克	дмитровск	jìmǐtèluòfūsīkè	И	mǐ	3
德诺	дно	dénuò	О	nuò	4
维索科夫斯克	высОковск	wéisuǒkēfūsīkè	О	suǒ	3
季米特洛夫格勒	димитровград	jìmǐtèluòfūgélè	ИА	lè	4
古布金	губкин	gǔbùjīn	У	gǔ	3
古布金斯基	губкинский	gǔbùjīnsījī	У	gǔ	3
沃特金斯克	воткинск	wòtèjīnsīkè	О	wò	4
格多夫	гдов	géduōfū	О	duō	1
鲁扎耶夫卡	рузаевка	lǔzāyēfūkǎ	А	zā	1
雷宾斯克	рыбинск	léibīnsīkè	Ы	léi	2
兰格帕斯	лангепАс	lángépàsī	А	pà	4
拉赫坚波希亚	лахденпохья	lāhèjiānbōxīyà	О	bō	1
丹尼洛夫	данилов	dānníluòfū	И	ní	2
丹科夫	данков	dānkēfū	О	kē	1
瑟克特夫卡尔	сыктывкар	sèkètèfūkǎěr	А	kǎ	3
格拉佐夫	глазов	gélāzuǒfū	А	lā	1
雷布诺耶	рыбное	léibùnuòyé	Ы	léi	2
雷利斯克	рыльск	léilìsīkè	Ы	léi	2
杰斯诺戈尔斯克	десногорск	jiésīnuògēěrsīkè	О	gē	1
加吉耶沃	гаджиево	jiājíyēwò	Ы	jí	2
加利奇	галич	jiālìqí	А	jiā	1
戈尔巴托夫	горбатов	gēěrbātuōfū	А	bā	1
戈尔诺扎沃茨克	горнозаводск	gēěrnuòzāwòcíkè	О	wò	4
大诺夫哥罗德	великий новгород	dànuòfūgēluódé	О	nuò	4
罗沙利	рошаль	luóshālì	А	shā	1
勒季谢沃	ртищево	lèjìxièwò	И	jì	4
斯特列热沃伊	стрежевой	sītèlièrèwòyī	О	wò	4
普罗列塔尔斯克	пролетарск	pǔluóliètǎěrsīkè	А	tǎ	3
普罗特维诺	протвино	pǔluótèwéinuò	О	luó	2
普罗赫拉德内	прохладный	pǔluóhèlādénèi	А	lā	1
沃尔日斯克	волжск	wòěrrìsīkè	О	wò	4
武克特尔	вуктыл	wǔkètèěr	Ы	wǔ	3
沃洛达尔斯克	володарск	wòluòdáěrsīkè	А	dá	2
季夫诺戈尔斯克	дивногорск	jìfūnuògēěrsīkè	О	gē	1
涅维扬斯克	невьянск	nièwéiyángsīkè	А	yáng	2
波克罗夫	покров	bōkèluófū	О	luó	2
多布良卡	добрянка	duōbùliángkǎ	А	liáng	2
拉杜日内	радужный	lādùrìnèi	А	lā	1
滨海阿赫塔尔斯克	приморско ахтарск	bīnhǎiāhètǎěrsīkè	А	tǎ	3
梁赞	рязань	liángzàn	А	zàn	4
戈利齐诺	голицыно	gēlìqínuò	И	lì	4
普斯托什卡	пустошка	pǔsītuōshíkǎ	О	tuō	1
戈尔尼亚克	горняк	gēěrníyàkè	А	yà	4
普希诺	пущино	pǔxīnuò	У	pǔ	3
佩塔洛沃	пыталово	pèitǎluòwò	А	tǎ	3
戈罗多维科夫斯克	городовиковск	gēluóduōwéikēfūsīkè	О	kē	1
列乌托夫	реутов	lièwūtuōfū	Э	liè	4
谢罗夫	серов	xièluófú	О	luó	2
罗斯托夫	ростов	luósītuōfū	О	tuō	1
波克罗夫斯克	покровск	bōkèluófūsīkè	О	luó	2
卡卢加	калуга	kǎlújiā	У	jiā	1
库尔斯克	курск	kùěrsīkè	У	kù	4
普加乔夫	пугачёв	pǔjiāqiáofū	О	qiáo	2
普多日	пудож	pǔduōrì	У	pǔ	3
鲁布佐夫斯克	рубцовск	lǔbùzuǒfūsīkè	О	zuǒ	3
沙茨克	шацк	shācíkè	А	shā	1
萨拉托夫	саратов	sàlātuōfū	А	lā	1
格罗德诺	гродно	géluódénuò	О	luó	2
埃利斯塔	элиста	āilìsītǎ	А	tǎ	3
北贝加尔斯克	северобайкальск	běibèijiāěrsīkè	А	jiā	1
沃尔斯马	ворсма	wòěrsīmǎ	О	wò	4
卡拉巴诺沃	карабаново	kǎlābānuòwò	А	bā	1
罗德尼基	родники	luódéníjī	И	jī	1
叶姆瓦	емва	yèmǔwǎ	Э	yè	4
叶尼塞斯克	енисейск	yènísàisīkè	Э	sài	4
勒热夫	ржев	lèrèfū	Э	rè	4
拉斯卡佐沃	рассказово	lāsīkǎzuǒwò	А	kǎ	3
坦波夫	тамбов	tǎnbōfū	О	bō	1
利佩茨克	липецк	lìpèicíkè	И	lì	4
罗斯拉夫尔	рославль	luósīlāfūěr	А	lā	1
马哈奇卡拉	махачкала	mǎhāqíkǎlā	А	lā	1
杜金卡	дудИнка	dùjīnkǎ	И	jīn	1
杜霍夫希纳	духовщина	dùhuòfūxīnà	И	xī	1
久尔秋利	дюртюли	jiǔěrqiūlì	И	lì	4
萨莱尔	салаир	sàláiěr	И	lái	2
克拉斯诺达尔	краснодар	kèlāsīnuòdáěr	А	dá	2
萨福诺沃	сафоново	sàfúnuòwò	О	fú	2
萨亚诺戈尔斯克	саяногорск	sàyànuògēěrsīkè	О	gē	1
萨彦斯克	саянск	sàyànsīkè	А	yàn	4
多尔戈普鲁德内	долгопрудный	duōěrgēpǔlǔdénèi	У	lǔ	3
多林斯克	долинск	duōlínsīkè	О	duō	1
阿卢什塔	алушта	ālúshítǎ	У	lú	2
北德文斯克	северодвинск	běidéwénsīkè	И	wén	2
萨利斯克	сальск	sàlìsīkè	А	sà	4
扎卡缅斯克	закаменск	zākǎmiǎnsīkè	А	kǎ	3
扎沃尔日耶	заволжье	zāwòěrrìyē	О	wò	4
萨罗夫	саров	sàluófú	О	luó	2
萨索沃	сасово	sàsuǒwò	А	sà	4
萨特卡	сатка	sàtèkǎ	А	sà	4
斯韦特洛格勒	светлоград	sīwéitèluògélè	А	lè	4
斯维尔斯克	свирск	sīwéiěrsīkè	И	wéi	2
迈科普	майкоп	màikēpǔ	О	kē	1
谢苗诺夫	семёнов	xièmiáonuòfū	О	miáo	2
谢米卡拉科尔斯克	семикаракорск	xièmǐkǎlākēěrsīkè	ЭО	xiè_kē	4_1
茹科夫	жуков	rúkēfū	У	rú	2
斯塔夫罗波尔	ставрополь	sītǎfūluóbōěr	А	tǎ	3
扎东斯克	задонск	zādōngsīkè	О	dōng	1
热列兹诺哥尔斯克-伊利姆斯基	железногорск илимский	rèlièzīnuògēěrsīkèyīlìmǔsījī	ОИ	gē_lì	1_4
叶先图基	ессентуки	yèxiāntújī	И	jī	1
切博克萨雷	чебоксары	qiēbókèsàléi	А	sà	4
马加斯	магАс	mǎjiāsī	А	jiā	1
纳尔奇克	нальчик	nàěrqíkè	А	nà	4
扎沃多乌科夫斯克	заводоуковск	zāwòduōwūkēfūsīkè	О	kē	1
叶尔绍夫	ершов	yèěrshàofū	О	shào	4
格罗兹尼	грозный	géluózīní	О	luó	2
多罗戈布日	дорогобуж	duōluógēbùrì	У	bù	4
斯韦特洛戈尔斯克	светлогорск	sīwéitèluògēěrsīkè	О	gē	1
萨兰斯克	саранск	sàlánsīkè	А	lán	2
基洛夫	киров	jīluòfū	И	jī	1
叶戈里耶夫斯克	егорьевск	yègēlǐyēfūsīkè	О	gē	1
叶伊斯克	ейск	yèyīsīkè	Э	yè	4
扎波利亚尔内	заполярный	zāpōlìyàěrnèi	А	yà	4
扎奥焦尔斯克	заозёрск	zāàojiāoěrsīkè	О	jiāo	1
西德维纳	западная двина	xīdéwéinà	А	nà	4
泽列诺格拉茨克	зеленоградск	zéliènuògélācíkè	А	lā	1
弗拉季高加索	владикавказ	fúlājìgāojiāsuǒ	А	jiā	1
北莫尔斯克	североморск	běimòěrsīkè	О	mò	4
北乌拉尔斯克	североуральск	běiwūláěrsīkè	А	lá	2
库尔恰托夫	курчатов	kùěrqiàtuōfū	А	qià	4
谢格扎	сегЕжа	xiègézhā	Э	gé	2
切尔克斯克	черкесск	qiēěrkèsīkè	Э	kè	4
先吉列伊	сенгилЕй	xiānjílièyī	Э	liè	4
绥拉菲莫维奇	серафимович	suílāfēimòwéiqí	О	mò	4
谢尔加奇	сергач	xièěrjiāqí	А	jiā	1
乌斯季杰古塔	усть джегута	wūsījìjiégǔtǎ	УА	wū_tǎ	1_3
约什卡尔奥拉	йошкар ола	yuēshíkǎěràolā	А	lā	1
奔萨	пенза	bēnsà	Э	bēn	1
伊热夫斯克	ижевск	yīrèfūsīkè	Э	rè	4
德列兹纳	дрезна	délièzīnà	Э	liè	4
茹科夫斯基	жуковский	rúkēfūsījī	О	kē	1
扎因斯克	заинск	zāyīnsīkè	И	yīn	1
奥伦堡	оренбург	àolúnbǎo	У	bǎo	3
热尔杰夫卡	жЕрдевка	rèěrjiéfūkǎ	Э	rè	4
谢尔多布斯克	сердобск	xièěrduōbùsīkè	О	duō	1
