label_zh;label_ru;translit
扎奥焦尔内;Заозёрный;zā’àojiāo’ěrnèi
乌里扬诺夫斯克;Ульяновск;wūlǐyángnuòfūsīkè
苏维埃茨克;Советск;sūwéi’āicíkè
奥洛涅茨;Олонец;àoluòniècí
莫兹多克;Моздок;mòzīduōkè
叶拉布加;Елабуга;yèlābùjiā
埃利佐沃;Елизово;āilìzuǒwò
叶曼热林斯克;Еманжелинск;yèmànrèlínsīkè
奥尔斯克;Орск;àoěrsīkè
维捷布斯克;Витебск;wéijiébùsīkè
扎赖斯克;Зарайск;zālàisīkè
斯科沃罗季诺;Сковородино;sīkēwòluōjìnuò
乌恰雷;Учалы;wūqiàléi
乌亚尔;Уяр;wūyà’ěr
谢别日;Себеж;xièbiérì
斯莫尔贡;Сморгонь;sīmòěrgòng
莫斯特;Мосты;mòsītè
奥博扬;Обоянь;àobóyáng
叶夫列莫夫;Ефремов;yèfūlièmòfū
热列兹诺沃德斯克;Железноводск;rèlièzīnuòwòdésīkè
切尔尼亚霍夫斯克;Черняховск;qiè’ěrníyàhuòfūsīkè
尼亚泽彼得罗夫斯克;Нязепетровск;níyàzébǐdéluófūsīkè
沃洛科拉姆斯克;Волоколамск;wòluòkēlāmǔsīkè
斯科平;Скопин;sīkēpíng
斯拉夫戈罗德;Славгород;sīlāfūgēluódé
乌斯秋日纳;Устюжна;wūsīqiūrìnà
托罗佩茨;Торопец;tuōluōpèicí
捷尔任斯克;Дзержинск;jié’ěrrènsīkè
沃尔昌斯克;Волчанск;wòěrchāngsīkè
乌斯季-卡塔夫;Усть Катав;wūsījì kǎtǎfū
乌斯季库特;Усть Кут;wūsījì kùtè
乌斯季-拉宾斯克;Усть Лабинск;wūsījì lābīnsīkè
下塔吉尔;Нижний Тагил;xià tǎjí’ěr
伏尔加斯基;Волжский;fú’ěrjiāsījī
马格尼托哥尔斯克;Магнитогорск;mǎgénítuōgēěrsīkè
福基诺;Фокино;fújīnuò
哈罗夫斯克;Харовск;hāluofūsīkè
赫瓦伦斯克;Хвалынск;hèwǎlúnsīkè
福罗斯;Форос;fúluósī
西伯利亚乌索利耶;Усолье Сибирское;xībólìyà wūsuǒlìyé
苏贾;Суджа;sūjiǎ
卡马河畔切尔尼;Набережные Челны;kǎmǎhé pàn qiēěrní
法捷日;Фатеж;fǎjiérì
弗罗洛沃;Фролово;fúluóluòwò
晓尔基诺;Щёлкино;xiǎo’ěrjīnuò
佳特洛沃;Дятлово;jiātèluòwò
新库兹涅茨克;Новокузнецк;xīn kùzīniècíkè
伊兰斯基;Иланский;yīlánsījī
齐维利斯克;Цивильск;qíwéilìsīkè
齐姆良斯克;Цимлянск;qímǔliángsīkè
阿格雷兹;Агрыз;āgēléizī
阿兹纳卡耶沃;Азнакаево;āzīnàkǎyēwò
霍尔姆;Холм;huò’ěrmǔ
霍季科沃;Хотьково;huòjìkēwò
叶利尼亚;Ельня;yèlìníyà
顿河畔卡拉奇;Калач на Дону;dùnhépàn kǎlāqí
阿迪格斯克;Адыгейск;ādígésīkè
阿列伊斯克;Алейск;ālièyīsīkè
别洛库里哈;Белокуриха;biéluòkùlǐhā
弗里亚济诺;Фрязино;fúlǐyàjìnuò
富尔马诺夫;Фурманов;fù’ěrmǎnuòfū
哈拉巴利;Харабали;hālābālì
库济米奇;Кузьмичи;kùjìmǐqí
安德;Анд-;āndé
阿卜杜利诺;Абдулино;àbùdùlìnuò
阿吉代尔;Агидель;ājídài’ěr
亚速;Азов;yàsù
阿克多武拉克;Ак Довурак;ākèduōwǔlākè
阿巴扎;Абаза;ābāzā
比斯克;Бийск;bǐsīkè
阿尔扎马斯;Арзамас;ā’ěrzāmǎsī
阿尔卡达克;Аркадак;ā’ěrkǎdákè
阿克赛;Аксай;ākèsài
阿拉吉尔;Алагир;ālājí’ěr
德米特罗夫;Дмитров;démǐtèluófū
希姆基;Химки;xīmǔjī
科克捷别利;Коктебель;kēkèjiébiélì
阿列克谢耶夫卡;Алексеевка;ālièkèxièyēfūkǎ
阿列克辛;Алексин;ālièkèxīn
切列帕诺沃;Черепаново;qiēlièpànuòwò
沙里亚;Шарья;shālǐyà
阿尔达托夫;Ардатов;ā’ěrdátuōfū
下瓦尔托夫斯克;Нижневартовск;xià wǎěrtuōfūsīkè
阿尔乔莫夫斯克;Артёмовск;ā’ěrqiáomòfūsīkè
巴巴耶沃;Бабаево;bābāyēwò
舒梅尔利亚;Шумерля;shūméi’ěrlìyà
巴布什金;Бабушкин;bābùshíjīn
巴夫雷;Бавлы;bāfūléi
阿拉帕耶夫斯克;Алапаевск;ālāpàyēfūsīkè
阿尔乔姆;Артём;ā’ěrqiáomǔ
切尔诺戈洛夫卡;Черноголовка;qiēěrnuògēluòfūkǎ
契诃夫;Чехов;qìhēfū
奇斯托波尔;Чистополь;jīsītuōbō’ěr
沙胡尼亚;Шахунья;shāhúníyà
沙图拉;Шатура;shātúlā
沙赫特;Шахты;shāhètè
阿尔扎迈;Алзамай;ā’ěrzāmài
亚历山德罗夫斯克;Александровск-;yàlìshāndéluófūsīkè
尼基塔;Никита;níjītǎ
阿普雷列夫卡;Апрелевка;āpǔléilièfūkǎ
阿拉米尔;Арамиль;ālāmǐ’ěr
沙戈纳尔;Шагонар;shāgēnà’ěr
沙德林斯克;Шадринск;shādélínsīkè
沙里;Шали;shālǐ
亚历山德罗夫;Александров;yàlìshāndéluófū
巴格拉季奥诺夫斯克;Багратионовск;bāgélājì’àonuòfūsīkè
贝加尔斯克;Байкальск;bèijiā’ěrsīkè
切卡林;Чекалин;qièkǎlín
切尔登;Чердынь;qiē’ěrdēng
切列姆霍沃;Черемхово;qiēlièmǔhuòwò
希马诺夫斯克;Шимановск;xīmǎnuòfūsīkè
希哈内;Шиханы;xīhānèi
巴拉赫纳;Балахна;bālāhènà
下卡姆斯克;Нижнекамск;xià kǎmǔsīkè
拜马克;Баймак;bàimǎkè
白卡利特瓦;Белая Калитва;bái kǎlìtèwǎ
白霍卢尼察;Белая Холуница;báihuòlúníchá
尤戈尔斯克;Югорск;yóugē’ěrsīkè
尤扎;Южа;yóuzhā
涅留恩格里;Нерюнгри;nièliú’ēn’gēlǐ
巴拉巴诺沃;Балабаново;bālābānuòwò
恰丹;Чадан;qiàdān
柴可夫斯基;Чайковский;cháikěfūsījī
阿沙;Аша;āshā
恰普雷金;Чаплыгин;qiàpǔléijīn
切格姆;Чегем;qiēgémǔ
巴卡尔;Бакал;bākǎ’ěr
阿尔乔莫夫斯基;Артёмовский;āěrqiáomòfūsījī
阿斯别斯特;Асбест;āsībiésītè
埃列克特罗乌格利;Электроугли;āilièkètèluówūgélì
恩格斯城;Энгельс;ēngésīchéng
新乌津斯克;Новоузенск;xīnwūjīnsīkè
新乌里扬诺夫斯克;Новоульяновск;xīn wūlǐyángnuòfūsīkè
新乌拉尔斯克;Новоуральск;xīn wūlá’ěrsīkè
恰帕耶夫斯克;Чапаевск;qiàpàyēfūsīkè
阿赫图宾斯克;Ахтубинск;āhètúbīnsīkè
阿钦斯克;Ачинск;āqīnsīkè
巴拉绍夫;Балашов;bālāshàofū
巴列伊;Балей;bālièyī
丘索沃伊;Чусовой;qiūsuǒwòyī
丘赫洛马;Чухлома;qiūhèluòmǎ
下谢尔吉;Нижние Серги;xià xiè’ěrjí
下洛莫夫;Нижний Ломов;xià luòmòfū
申库尔斯克;Шенкурск;shēnkù’ěrsīkè
亚纳乌尔;Янаул;yànàwū’ěr
亚兰斯克;Яранск;yàlánsīkè
下萨尔达;Нижняя Салда;xià sà’ěrdá
下图拉;Нижняя Тура;xià túlā
尼古拉耶夫斯克;Николаевск;nígǔlāyēfūsīkè
别热茨克;Бежецк;biérècíkè
契卡洛夫斯克;Чкаловск;qìkǎluòfūsīkè
丘多沃;Чудово;qiūduōwò
奥布卢奇耶;Облучье;àobùlúqíyē
奥布宁斯克;Обнинск;àobùníngsīkè
尼科利斯克;Никольск;níkēlìsīkè
新安宁斯基;Новоаннинский;xīn’ānníngsījī
新沃罗涅日;Нововоронеж;xīn wòluónièrì
涅利多沃;Нелидово;nièlìduōwò
奥廖克明斯克;Олёкминск;àoliàokèmíngsīkè
奥列涅戈尔斯克;Оленегорск;àolièniègēěrsīkè
奥穆特宁斯克;Омутнинск;àomùtèníngsīkè
新霍皮奥尔斯克;Новохопёрск;xīn huòpí’ào’ěrsīkè
新切博克萨尔斯克;Новочебоксарск;xīn qiēbókèsà’ěrsīkè
奥列霍沃-祖耶沃;Орехово Зуево;àolièhuòwò zǔyēwò
奥萨;Оса;àosà
阿尼瓦;Анива;āníwǎ
阿穆尔斯克;Амурск;āmùěrsīkè
安加尔斯克;Ангарск;ānjiā’ěrsīkè
尼亚甘;Нягань;níyàgān
尼扬多马;Няндома;níyángduōmǎ
阿帕季特;Апатиты;āpàjìtè
莫洛杰奇诺;Молодечно;mòluòjiéqínuò
安德烈亚波尔;Андреаполь;āndélièyàbōěr
安热罗苏真斯克;Анжеро Судженск;ānrèluó suzhēnsīkè
巴拉宾斯克;Барабинск;bālābīnsīkè
亚斯内;Ясный;yàsīnèi
波洛茨克;Полоцк;bōluòcíkè
亚尔采沃;Ярцево;yà’ěrcǎiwò
亚斯诺戈尔斯克;Ясногорск;yàsīnuògēěrsīkè
新特罗伊茨克;Новотроицк;xīntèluóyīcíkè
诺林斯克;Нолинск;nuòlínsīkè
南苏霍库姆斯克;Южно Сухокумск;nán sūhuòkùmǔsīkè
亚罗沃耶;Яровое;yàluówòyē
克鲁普基;Крупки;kèlǔpǔjī
佩列斯拉夫尔-扎列斯基;Переславль Залесский;pèilièsīlāfūěrzālièsījī
佩斯托沃;Пестово;pèisītuōwò
新德文斯克;Новодвинск;xīndéwénsīkè
新济布科夫;Новозыбков;xīnjìbùkēfū
奥辛尼基;Осинники;àoxīnníjī
新库班斯克;Новокубанск;xīnkùbānsīkè
涅夫捷库姆斯克;Нефтекумск;nièfūjiékùmǔsīkè
帕拉索夫卡;Палласовка;pàlāsuǒfūkǎ
彼得罗夫瓦尔;Петров Вал;bǐdéluófū wǎ’ěr
巴甫洛沃;Павлово;bāfǔluòwò
巴甫洛夫斯克;Павловск;bāfǔluòfūsīkè
奥金佐沃;Одинцово;àojīnzuǒwò
晓基诺;Щёкино;xiǎojīnuò
新索科利尼基;Новосокольники;xīnsuǒkēlìníjī
涅夫捷尤甘斯克;Нефтеюганск;nièfūjiéyóugānsīkè
尤尔加;Юрга;yóu’ěrjiā
尤里耶夫-波利斯基;Юрьев Польский;yóulǐyēfū bōlìsījī
尤里耶韦茨;Юрьевец;yóulǐyēwéicí
诺里尔斯克;Норильск;nuòlǐ’ěrsīkè
诺亚布尔斯克;Ноябрьск;nuòyàbù’ěrsīkè
涅斯维日;Несвиж;nièsīwéirì
新乌连戈伊;Новый Уренгой;xīn wūliángēyī
佩韦克;Певек;pèiwéikè
新米丘林斯克;Новомичуринск;xīnmǐqiūlínsīkè
里亚日斯克;Ряжск;lǐyàrìsīkè
新古比雪夫斯克;Новокуйбышевск;xīngǔbǐxuěfūsīkè
新巴甫洛夫斯克;Новопавловск;xīn bāfǔluòfūsīkè
新勒热夫;Новоржев;xīnlèrèfū
诺沃西利;Новосиль;nuòwòxīlì
奥特拉德内;Отрадный;àotèlādénèi
彼得罗夫斯克;Петровск;bǐdéluófūsīkè
彼得罗夫斯克;Петровск Забайкальский;bǐdéluófūsīkè
奥斯特罗戈日斯克;Острогожск;àosītèluógērìsīkè
济马;Зима;jìmǎ
新亚历山德罗夫斯克;Новоалександровск;xīnyàlìshāndéluófūsīkè
新阿尔泰斯克;Новоалтайск;xīn’ā’ěrtàisīkè
卡缅斯克-沙赫京斯基;Каменск Шахтинский;kǎmiǎnsīkè shāhèjīngsījī
鄂毕河畔卡缅;Камень на Оби;èbìhépàn kǎmiǎn
因扎;Инза;yīnzā
努尔拉特;Нурлат;nǔ’ěrlātè
兹韦尼哥沃;Звенигово;zīwéinígēwò
佩图什基;Петушки;pèitúshíjī
奥尔洛夫;Орлов;àoěrluòfū
奥焦尔斯克;Озёрск;àojiāo’ěrsīkè
奥焦雷;Озёры;àojiāoléi
坎斯克;Канск;kǎnsīkè
卡拉巴什;Карабаш;kǎlābāshí
卡拉布拉克;Карабулак;kǎlābùlākè
佩列沃兹;Перевоз;pèilièwòzī
托博尔斯克;Тобольск;tuōbóěrsīkè
卡拉恰耶夫斯克;Карачаевск;kǎlāqiàyēfūsīkè
兹韦尼哥罗德;Звенигород;zīwéinígēluódé
奥哈;Оха;àohā
奥汉斯克;Оханск;àohànsīkè
奥乔尔;Очёр;àoqiáo’ěr
因塔;Инта;yīntǎ
伊帕托沃;Ипатово;yīpàtuōwò
兹韦列沃;Зверево;zīwéilièwò
泽列诺多尔斯克;Зеленодольск;zéliènuòduō’ěrsīkè
普拉夫斯克;Плавск;pǔlāfūsīkè
普拉斯特;Пласт;pǔlāsītè
普廖斯;Плёс;pǔliáosī
扎列奇内;Заречный;zālièqínèi
佩图霍沃;Петухово;pèitúhuòwò
克列茨克;Клецк;kèliècíkè
奥涅加;Онега;àonièjiā
奥斯塔什科夫;Осташков;àosītǎshíkēfū
尤赫诺夫;Юхнов;yóuhènuòfū
卡拉钦斯克;Калачинск;kǎlāqīnsīkè
加里宁斯克;Калининск;jiālǐníngsīkè
卡尔坦;Калтан;kǎ’ěrtǎn
伊万捷耶夫卡;Ивантеевка;yīwànjiéyēfūkǎ
内特瓦;Нытва;nèitèwǎ
纽尔巴;Нюрба;niǔ’ěrbā
新利亚利亚;Новая Ляля;xīn lìyàlìyà
卡奇卡纳尔;Качканар;kǎqíkǎnàěr
卡申;Кашин;kǎshēn
卡希拉;Кашира;kǎxīlā
基泽尔;Кизел;jīzé’ěr
克孜勒尤尔特;Кизилюрт;kèzīlèyóu’ěrtè
基姆雷;Кимры;jīmǔléi
基涅利;Кинель;jīnièlì
卡梅什科沃;Камешково;kǎméishíkēwò
卡梅贾克;Камызяк;kǎméijiǎkè
佩列斯韦特;Пересвет;pèilièsīwéitè
塔甘罗格;Таганрог;tǎgānluógé
卡尔戈波雷;Каргополь;kǎ’ěrgēbōléi
卡利亚津;Калязин;kǎlìyàjīn
坎巴尔卡;Камбарка;kǎnbā’ěrkǎ
伊西利库尔;Исилькуль;yīxīlìkù’ěr
伊斯基季姆;Искитим;yīsījījìmǔ
祖耶夫卡;Зуевка;zǔyēfūkǎ
兹纳缅斯克;Знаменск;zīnàmiǎnsīkè
祖布佐夫;Зубцов;zǔbùzuǒfū
普乔雷;Печоры;pǔqiáoléi
涅斯捷罗夫;Нестеров;nièsījiéluófū
扎林斯克;Заринск;zālínsīkè
阿西诺;Асино;āxīnuò
阿特卡尔斯克;Аткарск;ātèkǎěrsīkè
卡拉奇;Калач;kǎlāqí
卡纳什;Канаш;kǎnàshén
兹拉托乌斯特;Златоуст;zīlātuōwūsītè
兹伦卡;Злынка;zīlúnkǎ
坎达拉克沙;Кандалакша;kǎndálākèshā
卡尔平斯克;Карпинск;kǎ’ěrpíngsīkè
卡塔夫-伊万诺夫斯克;Катав Ивановск;kǎtǎfū yīwànnuòfūsīkè
卡泰斯克;Катайск;kǎtàisīkè
卡西莫夫;Касимов;kǎxīmòfū
卡斯利;Касли;kǎsīlì
伊加尔卡;Игарка;yījiā’ěrkǎ
布列斯特;Брест;bùlièsītè
兹梅伊诺戈尔斯克;Змеиногорск;zīméiyīnuògē’ěrsīkè
伊兹别尔巴什;Избербаш;yīzībié’ěrbāshí
伊佐比利内;Изобильный;yīzuǒbǐlìnèi
伊希姆拜;Ишимбай;yīxīmǔbài
卡德尼科夫;Кадников;kǎdéníkēfū
奥波奇卡;Опочка;àobōqíkǎ
舒米哈;Шумиха;shūmǐhā
亚卢托罗夫斯克;Ялуторовск;yàlútuōluōfūsīkè
拉金斯克;Лакинск;lājīnsīkè
卡梅什洛夫;Камышлов;kǎméishíluòfū
卡拉齐夫;Карачев;kǎlāqífū
克德罗维;Кедровый;kèdéluówéi
凯姆;Кемь;kǎimǔ
皮奥涅尔斯基;Пионерский;pí’àoniè’ěrsījī
皮特基亚兰塔;Питкяранта;pítèjīyàlántǎ
柳别尔齐;Люберцы;liǔbiéěrqí
哈萨维尤尔特;Хасавюрт;hāsàwéiyóu’ěrtè
基莫夫斯克;Кимовск;jīmòfūsīkè
基兹利亚尔;Кизляр;jīzīlìyà’ěr
泽列诺库姆斯克;Зеленокумск;zéliènuòkùmǔsīkè
泽尔诺格勒;Зерноград;zé’ěrnuògélè
希格雷;Щигры;xīgēléi
尼布楚;Нерчинск;níbùchǔ
卡尔塔雷;Карталы;kǎ’ěrtǎléi
基洛夫格勒;Кировград;jīluòfūgélè
基廉斯克;Киренск;jīliánsīkè
斯拉夫斯克;Славск;sīlāfūsīkè
基尔斯;Кирс;jī’ěrsī
基里尔洛夫;Кириллов;jīlǐ’ěrluòfū
索科尔;Сокол;suǒkē’ěr
索利加利奇;Солигалич;suǒlìjiālìqí
斯洛博茨科伊;Слободской;sīluòbócíkēyī
斯涅任斯克;Снежинск;sīnièrènsīkè
基洛沃-切佩茨克;Кирово Чепецк;jīluòwò qiēpèicíkè
基涅什马;Кинешма;jīnièshímǎ
基列耶夫斯克;Киреевск;jīlièyēfūsīkè
斯涅日诺戈尔斯克;Снежногорск;sīnièrìnuògēěrsīkè
索宾卡;Собинка;suǒbīnkǎ
索罗钦斯克;Сорочинск;suǒluóqīnsīkè
旧库帕夫纳;Старая Купавна;jiù kùpàfūnà
旧鲁萨;Старая Русса;jiùlǔsà
中科雷姆斯克;Среднеколымск;zhōng kēléimǔsīkè
中乌拉尔斯克;Среднеуральск;zhōng wūlā’ěrsīkè
斯利坚斯克;Сретенск;sīlìjiānsīkè
斯塔里察;Старица;sītǎlǐchá
斯塔罗杜布;Стародуб;sītǎluódùbù
旧奥斯科尔;Старый Оскол;jiù àosīkē’ěr
斯帕斯克达利尼;Спасск Дальний;sīpàsīkè dálìní
斯帕斯克-梁赞斯基;Спасск Рязанский;sīpàsīkè liángzànsījī
索先斯基;Сосенский;suǒxiānsījī
索斯诺沃博尔斯克;Сосновоборск;suǒsīnuòwòbó’ěrsīkè
索斯诺戈尔斯克;Сосногорск;suǒsīnuògē’ěrsīkè
索利卡姆斯克;Соликамск;suǒlìkǎmǔsīkè
索尔涅奇诺戈尔斯克;Солнечногорск;suǒěrnièqínuògēěrsīkè
苏维埃港;Советская Гавань;sūwéi’āi gǎng
苏维埃茨基;Советский;sūwéi’āicíjī
苏罗维基诺;Суровикино;sūluówéijīnuò
苏尔斯克;Сурск;sū’ěrsīkè
苏苏曼;Сусуман;sūsūmàn
索里维切戈茨斯克;Сольвычегодск;suǒlǐwéiqiēgēcísīkè
索利齐;Сольцы;suǒlìqí
索尔斯克;Сорск;suǒ’ěrsīkè
索尔塔瓦拉;Сортавала;suǒ’ěrtǎwǎlā
斯特鲁尼诺;Струнино;sītèlǔnínuò
斯图皮诺;Ступино;sītúpínuò
苏沃洛夫;Суворов;sūwòluòfū
斯帕斯-杰缅斯克;Спас Деменск;sīpàsī jiémiǎnsīkè
斯帕斯-克列皮基;Спас Клепики;sīpàsī kèlièpíjī
斯帕斯克;Спасск;sīpàsīkè
泰舍特;Тайшет;tàishètè
塔尔多姆;Талдом;tǎ’ěrduōmǔ
苏希尼奇;Сухиничи;sūxīníqí
苏霍伊洛格;Сухой Лог;sūhuòyī luògé
瑟谢尔季;Сысерть;sèxiè’ěrjì
塔鲁萨;Таруса;tǎlǔsà
大伊万;Большой Иван;dàyīwàn
塔什塔戈尔;Таштагол;tǎshítǎgē’ěr
塔利察;Талица;tǎlìchá
塔尔科萨列;Тарко Сале;tǎ’ěrkē sàliè
捷伊科沃;Тейково;jiéyīkēwò
捷姆尼科夫;Темников;jiémǔníkēfū
苏奥耶尔维;Суоярви;sū’àoyē’ěrwéi
苏拉日;Сураж;sūlārì
季霍列茨克;Тихорецк;jìhuòliècíkè
托古钦;Тогучин;tuōgǔqīn
托马里;Томари;tuōmǎlǐ
瑟乔夫卡;Сычёвка;sèqiáofūkǎ
泰加;Тайга;tàijiā
托莫特;Томмот;tuōmòtè
托普基;Топки;tuōpǔjī
特罗伊茨克;Троицк;tèluóyīcíkè
托尔若克;Торжок;tuō’ěrruòkè
三山城;Трёхгорный;sānshānchéng
捷秋希;Тетюши;jiéqiūxī
季马绍夫斯克;Тимашёвск;jìmǎshàofūsīkè
图伊马济;Туймазы;túyīmǎjì
图兰;Туран;túlán
滕达;Тында;téngdá
特鲁布切夫斯克;Трубчевск;tèlǔbùqièfūsīkè
图阿普谢;Туапсе;tú’āpǔxiè
图林斯克;Туринск;túlínsīkè
图塔耶夫;Тутаев;tútǎyēfū
乌达奇内;Удачный;wūdáqínèi
乌茹尔;Ужур;wūrú’ěr
乌格列戈尔斯克;Углегорск;wūgéliègēěrsīkè
特尔内奥兹;Тырныауз;tèěrnèiàozī
秋卡林斯克;Тюкалинск;qiūkǎlínsīkè
乌瓦罗沃;Уварово;wūwǎluówò
乌兹洛瓦亚;Узловая;wūzīluòwǎyà
乌涅恰;Унеча;wūnièqià
乌拉伊;Урай;wūlāyī
乌连;Урень;wūlián
乌鲁斯-马尔坦;Урус Мартан;wūlǔsī mǎ’ěrtǎn
乌辛斯克;Усинск;wūxīnsīkè
乌索利耶;Усолье;wūsuǒlìyé
斯卢茨克;Слуцк;sīlúcíkè
斯莫列维奇;Смолевичи;sīmòlièwéiqí
索利戈尔斯克;Солигорск;suǒlìgē’ěrsīkè
切尔文;Червень;qiè’ěrwén
平斯克;Пинск;píngsīkè
斯托尔布齐;Столбцы;sītuō’ěrbùqí
乌兹达;Узда;wūzīdá
博布鲁伊斯克;Бобруйск;bóbùlǔyīsīkè
巴拉诺维奇;Барановичи;bālānuòwéiqí
利达;Лида;lìdá
图罗夫;Туров;túluófū
莫济里;Мозырь;mòjìlǐ
休钦;Щучин;xiūqīn
阿卢普卡;Алупка;ālúpǔkǎ
旧克里木;Старый Крым;jiù kèlǐmù
布拉斯拉夫;Браслав;bùlāsīlāfū
亚美尼亚斯克;Армянск;yàměiníyàsīkè
巴兰;Барань;bālán
瓦夫卡维斯克;Волковыск;wǎfūkǎwēisīkē
奥什米亚内;Ошмяны;àoshénmǐyànèi
什克洛夫;Шклов;shíkèluòfū
伊维耶;Ивье;yīwéiyē
新格鲁多克;Новогрудок;xīn gélǔduōkè
因克尔曼;Инкерман;yīnkè’ěrmàn
卢扎;Лудза;lúzā
斯洛尼姆;Слоним;sīluònímǔ
列奇察;Речица;lièqíchá
列佩利;Лепель;lièpèilì
贝霍夫;Быхов;bèihuòfū
罗加乔夫;Рогачёв;luójiāqiáofū
卡梅涅茨;Каменец;kǎméiniècí
多布鲁什;Добруш;duōbùlǔshí
盖伊;Гай;gàiyī
后贝加尔斯克;Забайкальск;hòubèijiā’ěrsīkè
阿金斯科耶;Агинское;ājīnsīkēyē
索科尔;Сокол;suǒkē’ěr
车尔尼雪夫斯基;Чернышевский;chē’ěrníxuěfūsījī
乌斯季挪拉;Усть Нера;wūsījìnuólā
奥拉;Ола;àolā
克拉斯基诺;Краскино;kèlāsījīnuò
扎鲁比诺;Зарубино;zālǔbǐnuò
奥伊米亚康;Оймякон;àoyīmǐyàkāng
旧拉多加;Старая Ладога;jiù lāduōjiā
卡廷;Катынь;kǎtíng
埃索;Эссо;āisuǒ
斯维亚日斯克;Свияжск;sīwéiyàrìsīkè
加加林;Гагаринский;jiājialín
阿尔巴特;Арбат;ā’ěrbātè
丹尼洛夫;Даниловский;dānníluòfū
柳布林诺;Люблино;liǔbùlínnuò
阿列克谢;Алексеевский;ālièkèxiè
特维尔;Тверской;tèwéiěr
柯尼斯堡;Кёнигсберг;kēnísībǎo
伏龙芝;Фрунзенский;fúlóngzhī
彼得罗维奇;Петровичи;bǐdéluówéiqí
卡梅绍娃亚;Камышовая;kǎméishàowáyà
圣彼得堡;Санкт Петербург;shèngbǐdébǎo
察察;Цаца;cháchá
伊万;Иван;yīwàn
伊克;Ик;yīkè
科尔;Колозеро;kē’ěr
普尔;Пулозеро;pǔ’ěr
